人名	群	他作家の本文での出現（欄数）	本人自身の欄での出現	根拠／備考
前田青邨	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（maeda-seison ＝ Maeda Seison）
加藤東一	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kato-toichi ＝ Katō Tōichi）
加藤栄三	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kato-eizo ＝ Katō Eizō）
北園克衛	B	1	0	NDL典拠 キタソノ, カツエ
北村西望	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（kitamura-seibo ＝ Kitamura Seibō）
北野恒富	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kitano-tsunetomi ＝ Kitano Tsunetomi）
原田直次郎	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（harada-naojiro ＝ Harada Naojirō）
友永詔三	B	1	0	NDL典拠 トモナガ, アキミツ＋APJ DAJ A5119 TOMONAGA Akimitsu
史邑	略称	2	0	号・姓のみの略称（本体の読みに従属）
吉原治良	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（jiro-yoshihara ＝ Yoshihara Jirō）
吉岡堅二	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（yoshioka-kenji ＝ Yoshioka Kenji）
吉村順三	B	1	0	NDL典拠 ヨシムラ, ジュンゾウ
名越詔司	C	1	0	NDL0・東文研0・APJ0・一般検索でも該当なし
向井潤吉	B	1	0	NDL典拠 ムカイ, ジュンキチ
土方巽	A	1	0	NDL典拠 ヒジカタ, タツミ
土田麦僊	在籍	5	1	掲載作家本人ページの name_en / name_kana で管理済み（tsuchida-bakusen ＝ Tsuchida Bakusen）
坂倉準三	在籍	4	1	掲載作家本人ページの name_en / name_kana で管理済み（sakakura-junzo ＝ Sakakura Junzo）
坂口安吾	A	2	0	NDL典拠 サカグチ, アンゴ
坂本龍馬	A	2	0	辞書級（NDL書誌に読み欄なし・別途要出典）
夏目漱石	A	3	0	NDL典拠 ナツメ, ソウセキ
大澤雅休	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（osawa-gakyu ＝ Ōsawa Gakyū）
大観	略称	6	0	号・姓のみの略称（本体の読みに従属）
天心	略称	8	0	号・姓のみの略称（本体の読みに従属）
天来	略称	5	0	号・姓のみの略称（本体の読みに従属）
奥田小由女	B	1	0	NDL典拠 オクダ, サユメ
安井曽太郎	B	1	0	NDL典拠 ヤスイ, ソウタロウ
安井曾太郎	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（yasui-sotaro ＝ Yasui Sōtarō）
安田靫彦	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（yasuda-yukihiko ＝ Yasuda Yukihiko）
宮入行平	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（miyairi-yukihira ＝ Miyairi Yukihira）
小堀鞆音	B	1	0	NDL典拠 コボリ, トモト
小宮康助	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（komiya-kosuke ＝ Komiya Kōsuke）
小林古径	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（kobayashi-kokei ＝ Kobayashi Kokei）
小茂田青樹	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（omoda-seiju ＝ Omoda Seiju）
小野竹喬	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（ono-chikkyo ＝ Ono Chikkyō）
尾形光琳	A	1	0	NDL典拠 オガタ, コウリン
尾辻克彦	A	1	0	NDL典拠 オツジ, カツヒコ
山口華楊	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（yamaguchi-kayo ＝ Yamaguchi Kayō）
山口薫	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（yamaguchi-kaoru ＝ Yamaguchi Kaoru）
山名貫義	B	1	0	NDL典拠 ヤマナ, ツラヨシ＋APJ DAJ A3691 YAMANA Tsurayoshi
山本丘人	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（yamamoto-kyujin ＝ Yamamoto Kyūjin）
山本瑞雲	C	1	0	NDL0・東文研0／APJは収蔵記録に Yamamoto, Zuiun があるが当該ページは機械翻訳の明示あり
山本鼎	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（yamamoto-kanae ＝ Yamamoto Kanae）
岡倉天心	A	10	0	NDL典拠 オカクラ, テンシン
岡本かの子	A	1	0	NDL典拠 オカモト, カノコ
岡本一平	A	1	0	NDL典拠 オカモト, イッペイ
岩田藤七	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（iwata-toshichi ＝ Iwata Tōshichi）
岸田劉生	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kishida-ryusei ＝ Kishida Ryūsei）
岸竹堂	B	1	0	NDL典拠 キシ, チクドウ
川合玉堂	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kawai-gyokudo ＝ Kawai Gyokudō）
川崎千虎	B	1	0	NDL典拠 カワサキ, チトラ＋APJ DAJ A3400 KAWASAKI Chitora
川端玉章	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kawabata-gyokusho ＝ Kawabata Gyokushō）
川端龍子	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（kawabata-ryushi ＝ Kawabata Ryūshi）
平櫛田中	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（hirakushi-denchu ＝ Hirakushi Denchū）
平福百穂	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（hirafuku-hyakusui ＝ Hirafuku Hyakusui）
幸野楳嶺	B	5	0	NDL典拠 コウノ, バイレイ
建畠覚造	B	1	0	NDL典拠 タテハタ, カクゾウ
新海竹太郎	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（shinkai-taketaro ＝ Shinkai Taketarō）
日下部鳴鶴	在籍	4	1	掲載作家本人ページの name_en / name_kana で管理済み（kusakabe-meikaku ＝ Kusakabe Meikaku）
星新一	A	1	0	NDL典拠 ホシ, シンイチ
朝倉文夫	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（asakura-fumio ＝ Asakura Fumio）
木村伊兵衛	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（kimura-ihei ＝ Kimura Ihei）
本郷新	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（hongo-shin ＝ Hongō Shin）
杉山寧	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（sugiyama-yasushi ＝ Sugiyama Yasushi）
村上三島	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（murakami-santo ＝ Murakami Santō）
村上春樹	A	1	0	NDL典拠 ムラカミ, ハルキ
村上華岳	在籍	4	1	掲載作家本人ページの name_en / name_kana で管理済み（murakami-kagaku ＝ Murakami Kagaku）
村野藤吾	在籍	1	0	掲載作家本人ページの name_en / name_kana で管理済み（murano-togo ＝ Murano Tōgo）
東山魁夷	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（higashiyama-kaii ＝ Higashiyama Kaii）
松岡映丘	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（matsuoka-eikyu ＝ Matsuoka Eikyū）
松本楓湖	B	3	0	NDL典拠 マツモト, フウコ
松本竣介	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（matsumoto-shunsuke ＝ Matsumoto Shunsuke）
松田権六	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（matsuda-gonroku ＝ Matsuda Gonroku）
林昌二	B	1	0	NDL典拠 ハヤシ, ショウジ
林雅子	B	1	0	NDL典拠 ハヤシ, マサコ
柳宗悦	B	5	0	NDL典拠・APJ DAJ＝ヤナギ ムネヨシ／日本民藝館 公式英語＝Soetsu Yanagi（両用）
栖鳳	略称	2	0	号・姓のみの略称（本体の読みに従属）
桐山均一	B	1	0	NDL典拠 キリヤマ, キンイチ
梅原龍三郎	在籍	4	1	掲載作家本人ページの name_en / name_kana で管理済み（umehara-ryuzaburo ＝ Umehara Ryūzaburō）
梶田半古	B	2	0	NDL典拠 カジタ, ハンコ
森田子龍	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（morita-shiryu ＝ Morita Shiryū）
森田恒友	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（morita-tsunetomo ＝ Morita Tsunetomo）
森英恵	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（mori-hanae ＝ Mori Hanae）
森鴎外	A	1	0	NDL典拠 モリ, オウガイ
森鷗外	A	1	0	NDL典拠 モリ, オウガイ
椿椿山	B	1	0	NDL典拠 ツバキ, チンザン
楠木正成	A	1	0	辞書級（NDL未取得）
楳嶺	B	4	0	NDL典拠 コウノ, バイレイ（略称）
榊原紫峰	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（sakakibara-shiho ＝ Sakakibara Shihō）
横山大観	在籍	10	1	掲載作家本人ページの name_en / name_kana で管理済み（yokoyama-taikan ＝ Yokoyama Taikan）
橋本明治	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（hashimoto-meiji ＝ Hashimoto Meiji）
橋本関雪	在籍	0	1	掲載作家本人ページの name_en / name_kana で管理済み（hashimoto-kansetsu ＝ Hashimoto Kansetsu）
橋本雅邦	在籍	4	1	掲載作家本人ページの name_en / name_kana で管理済み（hashimoto-gaho ＝ Hashimoto Gahō）
正宗白鳥	A	1	0	NDL典拠 マサムネ, ハクチョウ
武田霞洞	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（takeda-kado ＝ Takeda Kadō）
比田井天来	在籍	6	1	掲載作家本人ページの name_en / name_kana で管理済み（hidai-tenrai ＝ Hidai Tenrai）
河井	略称	1	0	号・姓のみの略称（本体の読みに従属）
河井寛次郎	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kawai-kanjiro ＝ Kawai Kanjirō）
浅井忠	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（asai-chu ＝ Asai Chū）
清家清	在籍	2	0	掲載作家本人ページの name_en / name_kana で管理済み（seike-kiyoshi ＝ Seike Kiyoshi）
清水錬徳	C	1	0	NDL0（現役作家・ご本人申告の情報）
渋沢栄一	A	2	0	辞書級（NDL未取得）
溝口健二	A	1	0	NDL典拠 ミゾグチ, ケンジ
濱田庄司	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（hamada-shoji ＝ Hamada Shōji）
牧田裕次郎	C	1	0	NDL0・東文研（物故者/年史）0・APJ0
玄奘三蔵	A	1	0	辞書級（en=Xuanzang）
田中敦子	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（atsuko-tanaka ＝ Tanaka Atsuko）
田中青坪	B	1	0	NDL典拠 タナカ, セイヒョウ
石井柏亭	在籍	6	1	掲載作家本人ページの name_en / name_kana で管理済み（ishii-hakutei ＝ Ishii Hakutei）
石井鶴三	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（ishii-tsuruzo ＝ Ishii Tsuruzō）
磯井如真	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（isoi-joshin ＝ Isoi Joshin）
福原信三	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（fukuhara-shinzo ＝ Fukuhara Shinzō）
竹内栖鳳	在籍	11	1	掲載作家本人ページの name_en / name_kana で管理済み（takeuchi-seiho ＝ Takeuchi Seihō）
篠原一男	在籍	2	0	掲載作家本人ページの name_en / name_kana で管理済み（shinohara-kazuo ＝ Shinohara Kazuo）
素明	略称	1	0	号・姓のみの略称（本体の読みに従属）
細井良雄	B	1	0	NDL典拠 ホソイ, ヨシオ＋APJ DAJ HOSOI Yoshio
結城素明	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（yuki-somei ＝ Yūki Somei）
舟越桂	B	1	0	NDL典拠 フナコシ, カツラ
芥川	略称	2	0	号・姓のみの略称（本体の読みに従属）
芹沢銈介	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（serizawa-keisuke ＝ Serizawa Keisuke）
荒川豊蔵	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（arakawa-toyozo ＝ Arakawa Toyozō）
荒木寛快	C	1	0	NDL0・東文研0・APJ0
荒木寛畝	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（araki-kanpo ＝ Araki Kanpo）
荻原守衛	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（ogiwara-morie ＝ Ogiwara Morie）
菊池芳文	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kikuchi-hobun ＝ Kikuchi Hōbun）
菱田宏治	C	1	0	NDL0（書名内の言及のみ・読み欄なし）・東文研0・APJ0
菱田春草	在籍	4	1	掲載作家本人ページの name_en / name_kana で管理済み（hishida-shunso ＝ Hishida Shunsō）
藤原啓	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（fujiwara-kei ＝ Fujiwara Kei）
藤島武二	在籍	5	1	掲載作家本人ページの name_en / name_kana で管理済み（fujishima-takeji ＝ Fujishima Takeji）
藤田嗣治	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（fujita-tsuguharu ＝ Fujita Tsuguharu）
西園寺公望	A	1	0	NDL典拠 サイオンジ, キンモチ
西山翠嶂	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（nishiyama-suisho ＝ Nishiyama Suishō）
西川寧	在籍	4	1	掲載作家本人ページの name_en / name_kana で管理済み（nishikawa-yasushi ＝ Nishikawa Yasushi）
西川春洞	在籍	5	1	掲載作家本人ページの name_en / name_kana で管理済み（nishikawa-shundo ＝ Nishikawa Shundō）
西村五雲	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（nishimura-goun ＝ Nishimura Goun）
西郷孤月	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（saigo-kogetsu ＝ Saigō Kogetsu）
西郷隆盛	A	1	0	NDL典拠 サイゴウ, タカモリ
谷口吉郎	在籍	1	0	掲載作家本人ページの name_en / name_kana で管理済み（taniguchi-yoshiro ＝ Taniguchi Yoshirō）
谷口香嶠	B	1	0	NDL典拠 タニグチ, コウキョウ
赤瀬川原平	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（genpei-akasegawa ＝ Akasegawa Genpei）
辰野金吾	在籍	3	0	掲載作家本人ページの name_en / name_kana で管理済み（tatsuno-kingo ＝ Tatsuno Kingo）
辻本史邑	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（tsujimoto-shiyu ＝ Tsujimoto Shiyū）
近藤浩一路	B	1	0	NDL典拠 コンドウ, コウイチロ
速水御舟	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（hayami-gyoshu ＝ Hayami Gyoshū）
都路華香	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（tsuji-kako ＝ Tsuji Kakō）
里見勝蔵	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（satomi-katsuzo ＝ Satomi Katsuzō）
野口幽谷	B	1	0	NDL典拠 ノグチ, ユウコク
金重陶陽	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kaneshige-toyo ＝ Kaneshige Tōyō）
鏑木清方	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（kaburaki-kiyokata ＝ Kaburaki Kiyokata）
関野聖雲	在籍	0	1	掲載作家本人ページの name_en / name_kana で管理済み（sekino-seiun ＝ Sekino Seiun）
雅邦	略称	2	0	号・姓のみの略称（本体の読みに従属）
雨宮治郎	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（amemiya-jiro ＝ Amemiya Jirō）
青木繁	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（aoki-shigeru ＝ Aoki Shigeru）
青邨	略称	1	0	号・姓のみの略称（本体の読みに従属）
香取秀真	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（katori-hotsuma ＝ Katori Hotsuma）
高村光太郎	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（takamura-kotaro ＝ Takamura Kōtarō）
高村光雲	在籍	13	1	掲載作家本人ページの name_en / name_kana で管理済み（takamura-koun ＝ Takamura Kōun）
高村東雲	C	1	0	NDL0・東文研0・APJ0
高松次郎	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（jiro-takamatsu ＝ Takamatsu Jirō）
高橋広湖	C	1	0	NDL0・東文研0／APJ収蔵1件は作家名の英語が空
髙山辰雄	B	1	0	NDL典拠（高山辰雄）タカヤマ, タツオ
鳴鶴	略称	2	0	号・姓のみの略称（本体の読みに従属）
鴎外	A	2	0	NDL典拠 モリ, オウガイ（略称）
麗子	略称	3	0	号・姓のみの略称（本体の読みに従属）
麻生三郎	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（aso-saburo ＝ Asō Saburō）
麻田辨自	B	1	0	NDL典拠 アサダ, ベンジ＋APJ DAJ ASADA Benji
黒田	略称	1	2	号・姓のみの略称（本体の読みに従属）
黒田清輝	在籍	10	1	掲載作家本人ページの name_en / name_kana で管理済み（kuroda-seiki ＝ Kuroda Seiki）
