作家	handle	人名	欄	言語	該当文（現表記を含む全文）	根拠の有無
鈴木 千賀子	suzuki-chikako	菱田宏治	bio	fr	Au Théâtre national du Japon, elle a été formée par 菱田宏治 et 名越詔司, d'abord au métier de tokoyama puis à la fabrication des têtes de marionnettes (kashira).	NDL0（書名内の言及のみ・読み欄なし）・東文研0・APJ0
鈴木 千賀子	suzuki-chikako	菱田宏治	bio	es	En el Teatro Nacional de Japón se formó con 菱田宏治 y 名越詔司: primero en el oficio de tokoyama de títeres del bunraku y después en la elaboración de las cabezas de los títeres (kashira).	NDL0（書名内の言及のみ・読み欄なし）・東文研0・APJ0
鈴木 千賀子	suzuki-chikako	菱田宏治	bio	de	Am Nationaltheater (Kokuritsu Gekijō) lernte sie bei 菱田宏治 und 名越詔司 zunächst die Arbeit als Tokoyama für Bunraku-Puppen und anschließend die Herstellung der Puppenköpfe (Kashira).	NDL0（書名内の言及のみ・読み欄なし）・東文研0・APJ0
鈴木 千賀子	suzuki-chikako	菱田宏治	bio	ko	국립극장(国立劇場)에서는 菱田宏治, 名越詔司에게 배웠다.	NDL0（書名内の言及のみ・読み欄なし）・東文研0・APJ0
鈴木 千賀子	suzuki-chikako	菱田宏治	bio	zh_cn	又在国立剧场师从菱田宏治、名越诏司，先担任文乐人偶的床山，后修习人偶头部的制作。	NDL0（書名内の言及のみ・読み欄なし）・東文研0・APJ0
鈴木 千賀子	suzuki-chikako	菱田宏治	bio	zh_tw	又於國立劇場師從菱田宏治、名越詔司，先擔任文樂人偶的床山，後修習人偶頭部的製作。	NDL0（書名内の言及のみ・読み欄なし）・東文研0・APJ0
鈴木 千賀子	suzuki-chikako	菱田宏治	bio	ja	国立劇場では菱田宏治氏・名越詔司氏に師事し、文楽人形の床山を経て、首（かしら）の制作の修行を積んだ。	NDL0（書名内の言及のみ・読み欄なし）・東文研0・APJ0
堅山 南風	katayama-nampu	高橋広湖	bio	en	After studying under Takahashi Kōko, his Shimotsuki-goro (Around the Eleventh Month) was recognized by Yokoyama Taikan at the Bunten exhibition, and he went on to study under Taikan.	NDL0・東文研0／APJ収蔵1件は作家名の英語が空
堅山 南風	katayama-nampu	高橋広湖	bio	fr	Après avoir étudié auprès de Takahashi Kōko, son œuvre Shimotsuki-goro (Vers le onzième mois) a été remarquée par Yokoyama Taikan au Bunten, et il est devenu l'élève de Taikan.	NDL0・東文研0／APJ収蔵1件は作家名の英語が空
堅山 南風	katayama-nampu	高橋広湖	bio	es	Tras estudiar con Takahashi Kōko, su obra Shimotsuki-goro (Hacia el undécimo mes) fue reconocida por Yokoyama Taikan en el Bunten, y pasó a estudiar con Taikan.	NDL0・東文研0／APJ収蔵1件は作家名の英語が空
堅山 南風	katayama-nampu	高橋広湖	bio	de	Nachdem er bei Takahashi Kōko studiert hatte, wurde sein „Shimotsuki-goro“ (Um den elften Monat) bei der Bunten-Ausstellung von Yokoyama Taikan beachtet, und er ging dazu über, bei Taikan zu studieren.	NDL0・東文研0／APJ収蔵1件は作家名の英語が空
堅山 南風	katayama-nampu	高橋広湖	bio	ko	다카하시 고코에게 배운 뒤, 분텐에 출품한 《상월 무렵》이 요코야마 다이칸에게 인정받은 것을 계기로 다이칸에게 사사했다.	NDL0・東文研0／APJ収蔵1件は作家名の英語が空
堅山 南風	katayama-nampu	高橋広湖	bio	zh_cn	他师从高桥广湖，后因《霜月时节》在文展上获横山大观赏识，遂师事大观。	NDL0・東文研0／APJ収蔵1件は作家名の英語が空
堅山 南風	katayama-nampu	高橋広湖	bio	zh_tw	他師從高橋廣湖，後因《霜月時節》在文展上獲橫山大觀賞識，遂師事大觀。	NDL0・東文研0／APJ収蔵1件は作家名の英語が空
堅山 南風	katayama-nampu	高橋広湖	bio	ja	高橋広湖に学んだのち、文展で《霜月頃》が横山大観に認められ、これを機に大観に師事した。	NDL0・東文研0／APJ収蔵1件は作家名の英語が空
中村 彝	nakamura-tsune	エロシェンコ	bio	en	His Erosshenko-shi no zō (Portrait of Mr.	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	bio	fr	Son Erosshenko-shi no zō (Portrait de M.	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	bio	es	Su Erosshenko-shi no zō (Retrato del señor Eroshenko), que representa a un poeta ruso ciego, se considera una obra representativa del retrato japonés moderno y está declarado Bien Cultural Importante.	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	bio	de	Sein „Erosshenko-shi no zō“ (Bildnis des Herrn Eroschenko), das einen blinden russischen Dichter zeigt, gilt als ein Hauptwerk des modernen japanischen Porträts und ist als Wichtiges Kulturgut ausgewiesen.	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	bio	ko	맹인 러시아 시인을 그린 《예로셴코 씨의 상》은 근대 일본 초상화의 대표작으로 꼽히며 중요문화재로 지정되어 있다.	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	bio	zh_cn	描绘盲眼俄国诗人的《爱罗先珂氏像》被视为近代日本肖像画的代表作，并被指定为重要文化财。	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	bio	zh_tw	描繪盲眼俄國詩人的《愛羅先珂氏像》被視為近代日本肖像畫的代表作，並被指定為重要文化財。	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	bio	ja	盲目のロシア人詩人を描いた《エロシェンコ氏の像》は、近代日本の肖像画の代表作とされ、重要文化財に指定されている。	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	viewpoint	en	In Erosshenko-shi no zō, looking at the serene expression of the poet with closed eyes and at the light captured in soft brushwork, one senses a gaze that sought to reach the very inner life of its subject.	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	viewpoint	fr	Dans Erosshenko-shi no zō, en observant l'expression sereine du poète aux yeux clos et la lumière saisie d'une touche douce, on perçoit un regard qui cherchait à atteindre la vie intérieure même de son modèle.	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	viewpoint	es	En Erosshenko-shi no zō, al observar la expresión serena del poeta con los ojos cerrados y la luz captada con una pincelada suave, se percibe una mirada que buscaba alcanzar la vida interior misma de su modelo.	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	viewpoint	de	In „Erosshenko-shi no zō“ spürt man, betrachtet man den ruhigen Ausdruck des Dichters mit geschlossenen Augen und das in weichem Pinselstrich erfasste Licht, einen Blick, der bis zum Innenleben seines Gegenüber vorzudringen suchte.	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	viewpoint	ko	《예로셴코 씨의 상》에서 눈을 감은 시인의 온화한 표정과, 부드러운 필치로 포착한 빛에 주목하면 대상의 내면까지 다가가려 한 시선이 느껴진다.	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	viewpoint	zh_cn	在《爱罗先珂氏像》中，留意闭目诗人那平和的神情，以及以柔和笔致捕捉的光线，便能感受到一种力图深入对象内心的目光。	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	viewpoint	zh_tw	在《愛羅先珂氏像》中，留意閉目詩人那平和的神情，以及以柔和筆致捕捉的光線，便能感受到一種力圖深入對象內心的目光。	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
中村 彝	nakamura-tsune	エロシェンコ	viewpoint	ja	《エロシェンコ氏の像》では、目を閉じた詩人の穏やかな表情と、やわらかな筆致でとらえた光に注目すると、対象の内面にまで迫ろうとしたまなざしが感じられる。	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
高村 光雲	takamura-koun	高村東雲	bio	en	He learned wood carving under the Buddhist sculptor Takamura Tōun and, by incorporating realistic expression, revived the declining tradition of wood carving for the modern age.	NDL0・東文研0・APJ0
高村 光雲	takamura-koun	高村東雲	bio	fr	Il apprit la sculpture sur bois auprès du sculpteur bouddhique Takamura Tōun et, en y introduisant une expression réaliste, fit renaître à l'ère moderne la tradition déclinante de la sculpture sur bois.	NDL0・東文研0・APJ0
高村 光雲	takamura-koun	高村東雲	bio	es	Aprendió la talla en madera con el escultor budista Takamura Tōun y, al incorporar una expresión realista, hizo renacer en la era moderna la decadente tradición de la talla en madera.	NDL0・東文研0・APJ0
高村 光雲	takamura-koun	高村東雲	bio	de	Er erlernte die Holzschnitzerei beim buddhistischen Bildschnitzer Takamura Tōun und ließ die im Niedergang begriffene Tradition der Holzschnitzerei, indem er realistische Ausdrucksmittel aufnahm, für die Moderne wieder aufleben.	NDL0・東文研0・APJ0
高村 光雲	takamura-koun	高村東雲	bio	ko	불상 조각가 다카무라 도운에게 목조를 배웠으며, 사실적 표현을 도입하여 쇠퇴해 가던 목조의 전통을 근대에 되살렸다.	NDL0・東文研0・APJ0
高村 光雲	takamura-koun	高村東雲	bio	zh_cn	师从佛师高村东云研习木雕，并引入写实表现，使一度衰微的木雕传统在近代重获新生。	NDL0・東文研0・APJ0
高村 光雲	takamura-koun	高村東雲	bio	zh_tw	師從佛師高村東雲研習木雕，並引入寫實表現，使一度衰微的木雕傳統在近代重獲新生。	NDL0・東文研0・APJ0
高村 光雲	takamura-koun	高村東雲	bio	ja	仏師の高村東雲のもとで木彫を学び、すたれかけていた木彫の伝統を、写実の表現を取り入れて近代によみがえらせた。	NDL0・東文研0・APJ0
川端 玉章	kawabata-gyokusho	中島来章	bio	en	He studied under Nakajima Raishō of the Maruyama school and learned a manner that prized sketching from life.	NDL0・東文研0／APJ収蔵記録 Nakajima Raisho は機械翻訳の明示あり
川端 玉章	kawabata-gyokusho	中島来章	bio	fr	Il a étudié auprès de Nakajima Raishō, de l'école Maruyama, et a appris une manière fondée sur le dessin d'après nature.	NDL0・東文研0／APJ収蔵記録 Nakajima Raisho は機械翻訳の明示あり
川端 玉章	kawabata-gyokusho	中島来章	bio	es	Estudió con Nakajima Raishō, de la escuela Maruyama, y aprendió una manera que valoraba el dibujo del natural.	NDL0・東文研0／APJ収蔵記録 Nakajima Raisho は機械翻訳の明示あり
川端 玉章	kawabata-gyokusho	中島来章	bio	de	Er studierte bei Nakajima Raishō von der Maruyama-Schule und lernte eine Malweise, die das Zeichnen nach der Natur hochhielt.	NDL0・東文研0／APJ収蔵記録 Nakajima Raisho は機械翻訳の明示あり
川端 玉章	kawabata-gyokusho	中島来章	bio	ko	마루야마파의 나카지마 라이쇼에게 사사하여 사생을 중시하는 화풍을 배웠다.	NDL0・東文研0／APJ収蔵記録 Nakajima Raisho は機械翻訳の明示あり
川端 玉章	kawabata-gyokusho	中島来章	bio	zh_cn	师从圆山派的中岛来章，研习重视写生的画风。	NDL0・東文研0／APJ収蔵記録 Nakajima Raisho は機械翻訳の明示あり
川端 玉章	kawabata-gyokusho	中島来章	bio	zh_tw	師從圓山派的中島來章，研習重視寫生的畫風。	NDL0・東文研0／APJ収蔵記録 Nakajima Raisho は機械翻訳の明示あり
川端 玉章	kawabata-gyokusho	中島来章	bio	ja	円山派の中島来章に師事し、写生を重んじる画風を学んだ。	NDL0・東文研0／APJ収蔵記録 Nakajima Raisho は機械翻訳の明示あり
荒木 寛畝	araki-kanpo	荒木寛快	bio	en	He studied under Araki Kankai, who belonged to the lineage of Tani Bunchō, and became his adopted son.	NDL0・東文研0・APJ0
荒木 寛畝	araki-kanpo	荒木寛快	bio	fr	Il étudia auprès d'Araki Kankai, qui appartenait à la lignée de Tani Bunchō, et en devint le fils adoptif.	NDL0・東文研0・APJ0
荒木 寛畝	araki-kanpo	荒木寛快	bio	es	Estudió con Araki Kankai, que pertenecía al linaje de Tani Bunchō, y se convirtió en su hijo adoptivo.	NDL0・東文研0・APJ0
荒木 寛畝	araki-kanpo	荒木寛快	bio	de	Er studierte bei Araki Kankai, der zur Linie von Tani Bunchō gehörte, und wurde dessen Adoptivsohn.	NDL0・東文研0・APJ0
荒木 寛畝	araki-kanpo	荒木寛快	bio	ko	다니 분초의 계통을 잇는 아라키 간카이에게 배우고 그 양자가 되었다.	NDL0・東文研0・APJ0
荒木 寛畝	araki-kanpo	荒木寛快	bio	zh_cn	师从谷文晁系统的荒木宽快，并成为其养子。	NDL0・東文研0・APJ0
荒木 寛畝	araki-kanpo	荒木寛快	bio	zh_tw	師從谷文晁系統的荒木寬快，並成為其養子。	NDL0・東文研0・APJ0
荒木 寛畝	araki-kanpo	荒木寛快	bio	ja	谷文晁の系統をくむ荒木寛快に学び、その養子となった。	NDL0・東文研0・APJ0
三木 宗策	miki-sosaku	山本瑞雲	bio	en	He studied under Yamamoto Zuiun, a pupil of Takamura Kōun, and inherited traditional wood-carving techniques.	NDL0・東文研0／APJは収蔵記録に Yamamoto, Zuiun があるが当該ページは機械翻訳の明示あり
三木 宗策	miki-sosaku	山本瑞雲	bio	fr	Il étudia auprès de Yamamoto Zuiun, élève de Takamura Kōun, et hérita des techniques traditionnelles de la sculpture sur bois.	NDL0・東文研0／APJは収蔵記録に Yamamoto, Zuiun があるが当該ページは機械翻訳の明示あり
三木 宗策	miki-sosaku	山本瑞雲	bio	es	Estudió con Yamamoto Zuiun, discípulo de Takamura Kōun, y heredó las técnicas tradicionales de la talla en madera.	NDL0・東文研0／APJは収蔵記録に Yamamoto, Zuiun があるが当該ページは機械翻訳の明示あり
三木 宗策	miki-sosaku	山本瑞雲	bio	de	Er studierte bei Yamamoto Zuiun, einem Schüler Takamura Kōuns, und übernahm die traditionellen Techniken der Holzschnitzerei.	NDL0・東文研0／APJは収蔵記録に Yamamoto, Zuiun があるが当該ページは機械翻訳の明示あり
三木 宗策	miki-sosaku	山本瑞雲	bio	ko	다카무라 고운 문하의 야마모토 즈이운에게 배워 전통적인 목조 기법을 이어받았다.	NDL0・東文研0／APJは収蔵記録に Yamamoto, Zuiun があるが当該ページは機械翻訳の明示あり
三木 宗策	miki-sosaku	山本瑞雲	bio	zh_cn	师从高村光云门下的山本瑞云，承袭传统木雕技法。	NDL0・東文研0／APJは収蔵記録に Yamamoto, Zuiun があるが当該ページは機械翻訳の明示あり
三木 宗策	miki-sosaku	山本瑞雲	bio	zh_tw	師從高村光雲門下的山本瑞雲，承襲傳統木雕技法。	NDL0・東文研0／APJは収蔵記録に Yamamoto, Zuiun があるが当該ページは機械翻訳の明示あり
三木 宗策	miki-sosaku	山本瑞雲	bio	ja	高村光雲門下の山本瑞雲に学び、伝統的な木彫の技法を受け継いだ。	NDL0・東文研0／APJは収蔵記録に Yamamoto, Zuiun があるが当該ページは機械翻訳の明示あり
渡辺 玄一	watanabe-genichi	清水錬徳	bio	en	1951 Born in Yamagata Prefecture 1976 Graduated from The Jikei University School of Medicine Belonged to the art club while a student, studying under Shimizu Rentoku (a member of the Independent Art Association) 【Activity】 He began working as an artist in 2008.	NDL0（現役作家・ご本人申告の情報）
渡辺 玄一	watanabe-genichi	清水錬徳	bio	fr	1951 Naissance dans la préfecture de Yamagata 1976 Diplôme de l'université de médecine Jikei de Tokyo Membre du club d'art durant ses études, formé auprès de Shimizu Rentoku (membre de l'Association d'art indépendant) 【Activité】 Il commence son activité d'artiste en 2008.	NDL0（現役作家・ご本人申告の情報）
渡辺 玄一	watanabe-genichi	清水錬徳	bio	es	1951 Nace en la prefectura de Yamagata 1976 Se gradúa en la Universidad de Medicina Jikei de Tokio Durante sus estudios fue miembro del club de arte y se formó con Shimizu Rentoku (miembro de la Asociación de Arte Independiente) 【Actividad】 Comenzó su actividad artística en 2008.	NDL0（現役作家・ご本人申告の情報）
渡辺 玄一	watanabe-genichi	清水錬徳	bio	de	1951 in der Präfektur Yamagata geboren 1976 Abschluss an der Jikei-Universität für Medizin in Tokio Während des Studiums Mitglied der Kunst-AG, Schüler von Shimizu Rentoku (Mitglied der Unabhängigen Kunstvereinigung) 【Tätigkeit】 2008 nahm er seine künstlerische Tätigkeit auf.	NDL0（現役作家・ご本人申告の情報）
渡辺 玄一	watanabe-genichi	清水錬徳	bio	ko	1951년 야마가타현 출생 1976년 도쿄지케이카이 의과대학 졸업 재학 중 미술부에 소속되어 시미즈 렌토쿠(清水錬徳, 독립미술협회 회원)에게 사사 【활동 이력】 2008년부터 작가 활동을 시작했다.	NDL0（現役作家・ご本人申告の情報）
渡辺 玄一	watanabe-genichi	清水錬徳	bio	zh_cn	1951年 生于山形县 1976年 毕业于东京慈惠会医科大学 在校期间参加美术部，师从清水錬徳（独立美术协会会员） 【活动经历】 2008年开始艺术创作活动。	NDL0（現役作家・ご本人申告の情報）
渡辺 玄一	watanabe-genichi	清水錬徳	bio	zh_tw	1951年 生於山形縣 1976年 畢業於東京慈惠會醫科大學 在學期間參加美術社，師從清水錬徳（獨立美術協會會員） 【活動經歷】 2008年開始創作活動。	NDL0（現役作家・ご本人申告の情報）
渡辺 玄一	watanabe-genichi	清水錬徳	bio	ja	1951年 山形県生まれ 1976年 東京慈恵会医科大学卒業 在学中は美術部に所属し清水錬徳（独立美術協会所属）に師事 【活動歴】 2008年より作家活動を開始。	NDL0（現役作家・ご本人申告の情報）
