作家名,handle,項目,個別フィールド,個別の値,i18nの値
島 成園,shima-seien,groups.ja,groups,文展・帝展に出品,
郷倉 千靱,gokura-senjin,bio.en,bio_en,Gokura Senjin was a Nihonga painter born in Toyama Prefecture. Taking the Nihon …,Gokura Senjin was a Nihonga painter born in Toyama Prefecture. Taking the Nihon …
郷倉 千靱,gokura-senjin,bio.fr,bio_fr,Gokura Senjin était un peintre nihonga né dans la préfecture de Toyama. Prenant …,Gokura Senjin était un peintre nihonga né dans la préfecture de Toyama. Prenant …
郷倉 千靱,gokura-senjin,bio.es,bio_es,Gokura Senjin fue un pintor nihonga nacido en la prefectura de Toyama. Tomando e…,Gokura Senjin fue un pintor nihonga nacido en la prefectura de Toyama. Tomando e…
川崎 小虎,kawasaki-shoko,groups.ja,groups,国土会、行樹社、森々会,国土会
片岡 球子,kataoka-tamako,bio.en,bio_en,"A Nihonga painter born in Sapporo, Hokkaidō. She worked while continuing to teac…","A Nihonga painter born in Sapporo, Hokkaidō. She worked while continuing to teac…"
片岡 球子,kataoka-tamako,bio.fr,bio_fr,"Peintre nihonga née à Sapporo, sur l'île de Hokkaidō. Elle créa tout en continua…","Peintre nihonga née à Sapporo, sur l'île de Hokkaidō. Elle créa tout en continua…"
片岡 球子,kataoka-tamako,bio.es,bio_es,"Pintora de nihonga nacida en Sapporo, en la isla de Hokkaidō. Creó mientras segu…","Pintora de nihonga nacida en Sapporo, en la isla de Hokkaidō. Creó mientras segu…"
小倉 遊亀,ogura-yuki,bio.en,bio_en,"A Nihonga painter born in Ōtsu, Shiga Prefecture. From 1920 she studied under Ya…","A Nihonga painter born in Ōtsu, Shiga Prefecture. From 1920 she studied under Ya…"
小倉 遊亀,ogura-yuki,bio.fr,bio_fr,"Peintre nihonga née à Ōtsu, dans la préfecture de Shiga. À partir de 1920, elle …","Peintre nihonga née à Ōtsu, dans la préfecture de Shiga. À partir de 1920, elle …"
小倉 遊亀,ogura-yuki,bio.es,bio_es,"Pintora de nihonga nacida en Ōtsu, prefectura de Shiga. Desde 1920 estudió con Y…","Pintora de nihonga nacida en Ōtsu, prefectura de Shiga. Desde 1920 estudió con Y…"
林 武,hayashi-takeshi,groups.ja,groups,独立美術協会,二科会、独立美術協会
鈴木 信太郎,suzuki-shintaro,groups.ja,groups,一陽会,二科会、一陽会
豊道 春海,bundo-shunkai,groups.ja,groups,瑞雲書道会、泰東書道院、日本書道美術院,日展、東方書道会
会津 八一,aizu-yaichi,groups.ja,groups,なし,
中林 梧竹,nakabayashi-gochiku,groups.ja,groups,なし,
副島 種臣,soejima-taneomi,groups.ja,groups,なし,
山岡 鉄舟,yamaoka-tesshu,groups.ja,groups,なし,
北大路 魯山人,kitaoji-rosanjin,groups.ja,groups,なし,
佐藤 忠良,sato-churyo,bio.ja,bio_ja,佐藤忠良は、宮城県黒川郡に生まれ、父の死をきっかけに幼少期を北海道夕張で過ごした彫刻家。上京後、東京美術学校彫刻科塑造部に学び、同期には舟越保武らがいた。193…,佐藤忠良は、宮城県に生まれ、北海道夕張に育った彫刻家。東京美術学校で塑造を学んだ。本郷新らと新制作派協会の創立に加わった。第二次世界大戦に召集され、戦後はシベリ…
佐藤 忠良,sato-churyo,statement.ja,statement,北海道育ちの彫刻家で、絵本『おおきなかぶ』の原画でも知られる,戦後の具象彫刻を代表する写実の彫刻家
雨宮 治郎,amemiya-jiro,location.ja,location,茨城県(水戸市),群馬県(一説に水戸)
桜井 祐一,sakurai-yuichi,bio.en,bio_en,"Sakurai Yuichi was a sculptor born in Yonezawa, Yamagata Prefecture. He studied …","Sakurai Yuichi was a sculptor born in Yonezawa, Yamagata Prefecture. He studied …"
桜井 祐一,sakurai-yuichi,bio.fr,bio_fr,"Sakurai Yuichi était un sculpteur né à Yonezawa, dans la préfecture de Yamagata.…","Sakurai Yuichi était un sculpteur né à Yonezawa, dans la préfecture de Yamagata.…"
桜井 祐一,sakurai-yuichi,bio.es,bio_es,"Sakurai Yuichi fue un escultor nacido en Yonezawa, prefectura de Yamagata. Discí…","Sakurai Yuichi fue un escultor nacido en Yonezawa, prefectura de Yamagata. Discí…"
上野 為二,ueno-tameji,groups.ja,groups,日本工芸会,
生野 祥雲斎,shono-shounsai,groups.ja,groups,日本伝統工芸展（日本工芸会）,日展
鹿児島 寿蔵,kagoshima-juzo,groups.ja,groups,アララギ派,
各務 鑛三,kagami-kozo,groups.ja,groups,皐陶会、工芸作家協会硝子部東京会,
野島 康三,nojima-yasuzo,groups.ja,groups,東京写真研究会、国画会,日本写真会
濱谷 浩,hamaya-hiroshi,groups.ja,groups,マグナム・フォト、日本写真家協会,
林 忠彦,hayashi-tadahiko,groups.ja,groups,日本写真家協会、二科会写真部,
植田 正治,ueda-shoji,groups.ja,groups,日本写真家協会,
入江 泰吉,irie-taikichi,groups.ja,groups,日本写真家協会,
桑原 甲子雄,kuwabara-kineo,groups.ja,groups,日本写真家協会,
深瀬 昌久,fukase-masahisa,groups.ja,groups,日本写真家協会,
石元 泰博,ishimoto-yasuhiro,groups.ja,groups,日本写真家協会,
田淵 行男,tabuchi-yukio,groups.ja,groups,日本写真家協会,
前田 真三,maeda-shinzo,groups.ja,groups,日本写真家協会,
秋山 庄太郎,akiyama-shotaro,groups.ja,groups,日本写真家協会、二科会写真部,
長野 重一,nagano-shigeichi,groups.ja,groups,日本写真家協会,
沢田 教一,sawada-kyoichi,groups.ja,groups,UPI通信,
篠山 紀信,shinoyama-kishin,groups.ja,groups,日本写真家協会,
大竹 省二,otake-shoji,groups.ja,groups,日本写真家協会、二科会写真部,
芳賀 日出男,haga-hideo,groups.ja,groups,日本写真家協会,
山沢 栄子,yamazawa-eiko,groups.ja,groups,日本写真家協会,
常盤 とよ子,tokiwa-toyoko,groups.ja,groups,日本写真家協会,
星野 道夫,hoshino-michio,groups.ja,groups,日本写真家協会,
二川 幸夫,futagawa-yukio,collection.ja,collection_places,東京都写真美術館、GA gallery,
杉浦 非水,sugiura-hisui,groups.ja,groups,七人社、全日本商業美術連盟,
山名 文夫,yamana-ayao,groups.ja,groups,日本宣伝美術会、東京広告美術協会,
田中 一光,tanaka-ikko,bio.ja,bio_ja,奈良市の生まれ。奈良県立奈良商業学校を経て、1950年に京都市立美術専門学校図案科を卒業した。鐘紡紡績で染織デザインを担当したのち、1952年に産経新聞大阪本社…,田中一光は、奈良に生まれたグラフィックデザイナー。日本の伝統的な美意識と、簡潔なモダンデザインを結びつけた作風で知られる。幾何学的な形を組み合わせて能面や動物を…
粟津 潔,awazu-kiyoshi,groups.ja,groups,日本宣伝美術会、環境芸術研究所,
石岡 瑛子,ishioka-eiko,groups.ja,groups,石岡瑛子デザイン室,
真鍋 博,manabe-hiroshi,groups.ja,groups,日本宣伝美術会,
花森 安治,hanamori-yasuji,collection.ja,collection_places,世田谷美術館、暮しの手帖社資料室、東京国立近代美術館,
花森 安治,hanamori-yasuji,groups.ja,groups,暮しの手帖社,
大橋 正,ohashi-tadashi,groups.ja,groups,日本宣伝美術会、日本グラフィックデザイナー協会,
秋岡 芳夫,akioka-yoshio,collection.ja,collection_places,目黒区美術館、武蔵野美術大学美術館、秋岡芳夫資料,
榮久庵 憲司,ekuan-kenji,groups.ja,groups,GKデザイングループ、日本インダストリアルデザイナー協会,
森 正洋,mori-masahiro,groups.ja,groups,日本クラフトデザイン協会,
倉俣 史朗,kuramata-shiro,groups.ja,groups,クラマタデザイン事務所、メンフィス,
長 大作,cho-daisaku,groups.ja,groups,坂倉準三建築研究所,
内田 繁,uchida-shigeru,collection.ja,collection_places,メトロポリタン美術館、サンフランシスコ近代美術館、モントリオール美術館,
内田 繁,uchida-shigeru,groups.ja,groups,スタジオ80,
杉本 貴志,sugimoto-takashi,collection.ja,collection_places,東京国立近代美術館、杉本貴志資料、スーパーポテト資料,
杉本 貴志,sugimoto-takashi,groups.ja,groups,スーパーポテト,
森 英恵,mori-hanae,collection.ja,collection_places,島根県立石見美術館、京都服飾文化研究財団、森英恵ファッション文化財団,
森 英恵,mori-hanae,groups.ja,groups,森英恵ファッション文化財団、オートクチュール組合,
高田 賢三,takada-kenzo,collection.ja,collection_places,京都服飾文化研究財団、姫路文学館、パリ装飾芸術美術館,
高田 賢三,takada-kenzo,groups.ja,groups,KENZO,
三宅 一生,miyake-issey,groups.ja,groups,三宅デザイン事務所、リアリティ・ラボ,
山本 寛斎,yamamoto-kansai,collection.ja,collection_places,京都服飾文化研究財団、ヴィクトリア・アンド・アルバート博物館、山本寛斎事務所資料,
山本 寛斎,yamamoto-kansai,groups.ja,groups,株式会社寛斎スーパースタジオ,
芦田 淳,ashida-jun,collection.ja,collection_places,京都服飾文化研究財団、文化学園服飾博物館、ジュンアシダ資料,
芦田 淳,ashida-jun,groups.ja,groups,ジュンアシダ,
桂 由美,katsura-yumi,collection.ja,collection_places,文化学園服飾博物館、桂由美ブライダルハウス資料,
桂 由美,katsura-yumi,groups.ja,groups,全日本ブライダル協会、ユミカツラインターナショナル,
小篠 綾子,koshino-ayako,collection.ja,collection_places,岸和田だんじり会館、文化学園服飾博物館、小篠家資料,
小篠 綾子,koshino-ayako,groups.ja,groups,コシノ洋装店,
柚木 沙弥郎,yunoki-samiro,groups.ja,groups,日本民藝協会、女子美術大学,
中原 淳一,nakahara-junichi,collection.ja,collection_places,弥生美術館、中原淳一記念館、世田谷文学館,
中原 淳一,nakahara-junichi,groups.ja,groups,ひまわり社,
桑沢 洋子,kuwasawa-yoko,collection.ja,collection_places,桑沢デザイン研究所資料、文化学園服飾博物館,
桑沢 洋子,kuwasawa-yoko,groups.ja,groups,桑沢デザイン研究所,
田中 千代,tanaka-chiyo,collection.ja,collection_places,田中千代学園資料、文化学園服飾博物館,
田中 千代,tanaka-chiyo,groups.ja,groups,田中千代学園,
岡本 太郎,taro-okamoto,groups.ja,groups,二科会、夜の会,
浮田 要三,yozo-ukita,collection.ja,collection_places,芦屋市立美術博物館、大阪中之島美術館,
工藤 哲巳,tetsumi-kudo,groups.ja,groups,読売アンデパンダン展関連,
河原 温,on-kawara,groups.ja,groups,なし,
斎藤 義重,yoshishige-saito,groups.ja,groups,九室会、多摩美術大学関係,
成田 克彦,katsuhiko-narita,location.ja,location,大韓民国釜山（終戦後、熊本経由で天草へ）,東京都
成田 克彦,katsuhiko-narita,collection.ja,collection_places,東京国立近代美術館、国立国際美術館、埼玉県立近代美術館,
三木 富雄,tomio-miki,groups.ja,groups,読売アンデパンダン展関連,
宮脇 愛子,aiko-miyawaki,groups.ja,groups,なし,
桂 ゆき,yuki-katsura,groups.ja,groups,女流画家協会、九室会,
オノサト・トシノブ,toshinobu-onosato,groups.ja,groups,自由美術家協会,
菅井 汲,kumi-sugai,groups.ja,groups,なし,
今井 俊満,toshimitsu-imai,groups.ja,groups,具体美術協会周辺、アンフォルメル関連,
堂本 尚郎,hisao-domoto,groups.ja,groups,なし,
須田 剋太,kokuta-suda,groups.ja,groups,国画会,
池田 龍雄,tatsuo-ikeda,groups.ja,groups,読売アンデパンダン展関連,
荒川 修作,shusaku-arakawa,groups.ja,groups,ネオ・ダダイズム・オルガナイザーズ,
刀根 康尚,yasunao-tone,collection.ja,collection_places,ニューヨーク近代美術館、ポンピドゥー・センター、国立国際美術館,
田名網 敬一,keiichi-tanaami,groups.ja,groups,なし,
新妻 實,minoru-niizuma,collection.ja,collection_places,東京都現代美術館、ニューヨーク近代美術館、ストームキング・アートセンター,
新妻 實,minoru-niizuma,groups.ja,groups,棕櫚会,
富山 妙子,taeko-tomiyama,groups.ja,groups,なし,
山本 悍右,kansuke-yamamoto,groups.ja,groups,前衛写真グループ、ナゴヤ・フォトアヴァンギャルド,
宇佐美 圭司,keiji-usami,groups.ja,groups,なし,
松澤 宥,yutaka-matsuzawa,groups.ja,groups,なし,
中山 巍,nakayama-takashi,groups.ja,groups,二科会、1930年協会、独立美術協会,二科会、独立美術協会
林 重義,hayashi-shigeyoshi,groups.ja,groups,独立美術協会、国画会、二科会,独立美術協会、国画会
中村 琢二,nakamura-takuji,location.ja,location,新潟県佐渡（育ち：福岡県宗像）,福岡県
関野 聖雲,sekino-seiun,location.ja,location,神奈川県,神奈川県(厚木)
関野 聖雲,sekino-seiun,groups.ja,groups,,日本美術院
中村 直人,nakamura-naondo,bio.en,bio_en,"Nakamura Naondo was a sculptor and painter born in Ueda, Nagano Prefecture. Enco…","Nakamura Naondo was a sculptor and painter born in Ueda, Nagano Prefecture. Enco…"
中村 直人,nakamura-naondo,bio.fr,bio_fr,"Nakamura Naondo était un sculpteur et peintre né à Ueda, dans la préfecture de N…","Nakamura Naondo était un sculpteur et peintre né à Ueda, dans la préfecture de N…"
中村 直人,nakamura-naondo,bio.es,bio_es,"Nakamura Naondo fue un escultor y pintor nacido en Ueda, prefectura de Nagano. A…","Nakamura Naondo fue un escultor y pintor nacido en Ueda, prefectura de Nagano. A…"
鹿島 清兵衛,kajima-seibei,groups.ja,groups,日本写真会,
金丸 重嶺,kanamaru-shigene,groups.ja,groups,金鈴社、七人社、日本写真協会,
田村 茂,tamura-shigeru,groups.ja,groups,日本リアリズム写真集団,
薗部 澄,sonobe-kiyoshi,groups.ja,groups,東方社,
駒井 哲郎,komai-tetsuro,groups.ja,groups,春陽会,
立石 大河亞,tateishi-tiger,groups.ja,groups,ネオ・ダダ周辺,
田中 信太郎,tanaka-shintaro,groups.ja,groups,ネオ・ダダイズム・オルガナイザーズ,
ヨシダ ミノル,yoshida-minoru,collection.ja,collection_places,大阪中之島美術館、京都国立近代美術館、国立国際美術館,
丹羽 海鶴,niwa-kaikaku,collection.ja,collection_places,出身地に顕彰碑,
武田 霞洞,takeda-kado,bio.ja,bio_ja,武田霞洞は、越前国（現在の福井県）に生まれた書家。西川春洞に学び、各書体に通じた書を制作した。泰東書道院で総務・審査員を務めた。明治から昭和初めにかけての書壇で…,武田霞洞は、越前国（現在の福井県）に生まれた書家。西川春洞に学び、その高弟「春洞門七福神」の一人に数えられた。師ゆずりの、中国の古典に学んだ漢字書を制作した。泰…
武田 霞洞,takeda-kado,role.ja,genre,書家,書家／漢字
武田 霞洞,takeda-kado,statement.ja,statement,西川春洞に学んだ書家,春洞門下に数えられた漢字書の書家
武田 霞洞,takeda-kado,collection.ja,collection_places,成田山書道美術館（所蔵作家として掲載を確認・個別作品の題名等は未確認）,
渡辺 沙鴎,watanabe-sao,collection.ja,collection_places,個人蔵,
大澤 竹胎,osawa-chikutai,collection.ja,collection_places,個人蔵,
深山 龍洞,fukayama-ryudo,collection.ja,collection_places,東京国立博物館（紫式部集抄）,
深山 龍洞,fukayama-ryudo,groups.ja,groups,一東書道会、日展,
相田 みつを,aida-mitsuo,groups.ja,groups,毎日書道展に入選,
和田 誠,wada-makoto,collection.ja,collection_places,東京国立近代美術館・たばこと塩の博物館,
和田 誠,wada-makoto,groups.ja,groups,東京アートディレクターズクラブ,
長友 啓典,nagatomo-keisuke,collection.ja,collection_places,ギンザ・グラフィック・ギャラリー,
長友 啓典,nagatomo-keisuke,groups.ja,groups,日本グラフィックデザイナー協会,
灘本 唯人,nadamoto-tadahito,collection.ja,collection_places,ギンザ・グラフィック・ギャラリー,
戸田 ツトム,toda-tsutomu,collection.ja,collection_places,武蔵野美術大学美術館・図書館,
戸田 ツトム,toda-tsutomu,groups.ja,groups,日本グラフィックデザイナー協会,
内藤 ルネ,naito-rune,collection.ja,collection_places,岡崎市美術博物館,
内藤 ルネ,naito-rune,groups.ja,groups,不明,
橋口 五葉,hashiguchi-goyo,groups.ja,groups,不明,
小林 かいち,kobayashi-kaichi,collection.ja,collection_places,京都国立近代美術館・細見美術館,
小林 かいち,kobayashi-kaichi,groups.ja,groups,不明,
佐野 繁次郎,sano-shigejiro,groups.ja,groups,二紀会,
大智 浩,ochi-hiroshi,collection.ja,collection_places,東京国立近代美術館,
大智 浩,ochi-hiroshi,groups.ja,groups,海外デザイン交流協会、AGI（国際グラフィック連盟）日本代表,
中村 乃武夫,nakamura-nobuo,collection.ja,collection_places,文化学園服飾博物館,
中村 乃武夫,nakamura-nobuo,groups.ja,groups,日本ファッション協会,
伊東 茂平,ito-mohei,bio.ja,bio_ja,伊東茂平は、福岡県に生まれたファッションデザイナー・服飾教育者。1929年にイトウ洋裁研究所を、1940年に伊東衣服研究所を設立した。日本航空（JAL）の客室乗…,伊東茂平は、東京に生まれたファッションデザイナー。戦前から戦後にかけて、婦人服の洋裁・デザインの分野で活躍したことで知られる。洋装がまだ一般的でなかった時代から…
伊東 茂平,ito-mohei,location.ja,location,福岡県,東京都
伊東 茂平,ito-mohei,statement.ja,statement,洋裁教育とユニフォームデザインを手がけたファッションデザイナー,戦前戦後の洋装を担ったファッションデザイナー
伊東 茂平,ito-mohei,collection.ja,collection_places,文化学園服飾博物館,
伊東 茂平,ito-mohei,groups.ja,groups,日本デザイナークラブ,
水之江 忠臣,mizunoe-tadaomi,bio.ja,bio_ja,水之江忠臣は、大分県に生まれた家具デザイナー。1942年、前川國男建築設計事務所に入った。1954年には神奈川県立図書館・音楽堂（前川國男設計の複合施設）のため…,水之江忠臣は、東京に生まれたインダストリアルデザイナー。家具のデザインを手がけ、とりわけ図書館などの公共の場で使われる椅子のデザインで知られる。簡潔で丈夫、長く…
小池 岩太郎,koike-iwataro,role.ja,genre,インダストリアルデザイナー,グラフィックデザイナー
小池 岩太郎,koike-iwataro,collection.ja,collection_places,東京国立近代美術館,
小池 岩太郎,koike-iwataro,groups.ja,groups,東京芸術大学、日本インダストリアルデザイナー協会、GKデザイングループ,日本インダストリアルデザイナー協会、GKデザイングループ
安西 水丸,anzai-mizumaru,bio.ja,bio_ja,安西水丸は、東京港区に生まれたイラストレーター・漫画家・作家。広告のデザインの仕事を経て、イラストレーションの道に進んだ。素朴で平明な、飄々とした味わいの絵で親…,安西水丸は、東京港区に生まれたイラストレーター・漫画家・作家。広告のデザインの仕事を経て、イラストレーションの道に進んだ。素朴で平明な、飄々とした味わいの絵で親…
安西 水丸,anzai-mizumaru,collection.ja,collection_places,安西水丸事務所資料・世田谷文学館,
安西 水丸,anzai-mizumaru,groups.ja,groups,東京イラストレーターズ・ソサエティ,
原田 治,harada-osamu,collection.ja,collection_places,世田谷文学館・弥生美術館,
原田 治,harada-osamu,groups.ja,groups,不明,
丹下 健三,tange-kenzo,collection.ja,collection_places,重要文化財指定建物3件（広島平和記念資料館本館・香川県庁舎東館・国立代々木競技場、指定年は代表作欄のとおり）。専用の記念館・アーカイブは未確認。,重要文化財指定建物3件（広島平和記念資料館本館・香川県庁舎東館・国立代々木競技場）。専用の記念館・アーカイブは未確認。
内田 祥三,uchida-yoshikazu,collection.ja,collection_places,登録有形文化財として安田講堂・法学部3号館ほか東京大学構内の複数建物が指定されている（詳細は代表作欄参照）。専用の記念館・アーカイブは未確認。,登録有形文化財として安田講堂・法学部3号館ほか東京大学構内の複数建物が指定されている。専用の記念館・アーカイブは未確認。
村野 藤吾,murano-togo,groups.ja,groups,設計事務所：渡辺節建築事務所(1918年入所)→村野建築事務所(1929年設立)→村野・森建築事務所(1949年改称)／大学：専任教員歴は確認できず（1973年…,
前川 國男,maekawa-kunio,groups.ja,groups,設計事務所：アントニン・レーモンド建築設計事務所(1930年入所)→前川國男建築設計事務所(1935年設立)／大学：専任教員歴は確認できず／建築運動：なし（確認…,
吉田 五十八,yoshida-isoya,groups.ja,groups,大学：東京美術学校講師(1941年)→教授(1946年)、学制改革後は東京藝術大学教授(1949-1962年)→名誉教授／設計事務所：確認できず／建築運動：なし…,
谷口 吉郎,taniguchi-yoshiro,groups.ja,groups,大学：東京工業大学講師(1930年)→助教授(1931年)→教授(1943年)→定年退官(1965年)／設計事務所：谷口吉郎建築設計研究所(1967年設立)／建…,
佐野 利器,sano-toshikata,groups.ja,groups,大学：東京帝国大学教授(1918-1941年)／設計事務所：確認できず（学士会館では高橋貞太郎と共同、佐野は構造設計担当）／建築運動：なし（確認できず）／日本学…,
菊竹清訓,kikutake-kiyonori,groups.ja,groups,設計事務所：竹中工務店(1950年入社)→村野・森建築設計事務所(1952年入所)→菊竹建築研究所(1953年設立)→菊竹清訓建築設計事務所(1962年改称)／…,
芦原義信,ashihara-yoshinobu,groups.ja,groups,大学：法政大学教授(1959年)→武蔵野美術大学教授(1965年)→東京大学教授(1970年)／設計事務所：芦原義信建築設計研究所（現・芦原建築設計研究所、19…,
大高正人,otaka-masato,groups.ja,groups,設計事務所：前川國男建築設計事務所(1949年入所)→大高建築設計事務所(1962年設立)／建築運動：メタボリズム・グループ参加(1960年)／日本建築学会理事…,
坂倉準三,sakakura-junzo,groups.ja,groups,設計事務所：坂倉準三建築事務所(1940年設立)→坂倉準三建築研究所(1946年改称)／建築運動：なし（確認できず）／アメリカ建築家協会海外名誉会員(1966年…,
吉阪隆正,yoshizaka-takamasa,groups.ja,groups,大学：早稲田大学助教授(1945年)→教授(1959年)→理工学部長(1969-1972年)／建築運動：なし（確認できず）／日本建築学会会長(1973-1974…,
今井兼次,imai-kenji,groups.ja,groups,大学：早稲田大学助手→助教授(1920年)→教授(1937年)→名誉教授(1965年)、関東学院大学教授（在任期間は元号表記の判読に揺れがあり未確認）／建築運動…,
黒川紀章,kurokawa-kisho,groups.ja,groups,設計事務所：黒川紀章建築都市設計事務所(1962年設立)／建築運動：メタボリズム・グループメンバー(1960年)／日本芸術院会員(1998年)・文化功労者(20…,
篠原一男,shinohara-kazuo,groups.ja,groups,大学：東京工業大学助手→助教授(1962年)→教授(1970年)、定年退官(1986年)／建築運動：なし（確認できず）／日本建築学会賞(1972年)・日本建築学…,
東孝光,azuma-takamitsu,groups.ja,groups,官庁：郵政省大臣官房建築部／設計事務所：坂倉準三建築研究所（1960年移籍）→東孝光建築研究所（1968年設立）／大学：大阪大学教授(1985年)→名誉教授、千…,
土浦亀城,tsuchiura-kameki,groups.ja,groups,設計事務所：大倉土木（現・大成建設、1926年入社とされる、大成建設公式社史では未確認）→土浦亀城建築設計事務所（1934年12月開設）／大学：専任教員歴は確認…,
岸田日出刀,kishida-hideto,groups.ja,groups,大学：東京帝国大学講師(1923年)→助教授(1925年)→教授(1929年)→名誉教授(1959年)／建築運動：表現派グループ「ラトー」結成(1924年・蒲原…,
白井晟一,shirai-seiichi,groups.ja,groups,設計事務所：白井晟一研究所（設立年不明）／大学：教員歴は確認できず／建築運動：なし（確認できず）,
山口文象,yamaguchi-bunzo,groups.ja,groups,設計事務所：清水組(1918年入社)→逓信省営繕課→復興局橋梁課（嘱託）→山口蚊象建築事務所（1934年設立）→RIA建築綜合研究所（1953年設立）／建築運動…,
池辺陽,ikebe-kiyoshi,groups.ja,groups,大学：東京帝国大学第二工学部講師(1946年)→東京大学第二工学部助教授(1949年)→東京大学生産技術研究所教授(1965年)／設計事務所：坂倉建築研究所（1…,
西澤文隆,nishizawa-fumitaka,groups.ja,groups,設計事務所：坂倉準三建築研究所（1940年入所）→大阪支所長(1948年)→株式会社坂倉建築研究所代表取締役(1969年)／大学：教員歴は確認できず／建築運動：…,
