handle,氏名(日本語),読み(かな),変換前,変換後
yorozu-tetsugoro,萬 鉄五郎,よろず てつごろう,Yorozu Tetsugoro,Yorozu Tetsugorō
kishida-ryusei,岸田 劉生,きしだ りゅうせい,Kishida Ryusei,Kishida Ryūsei
kimura-shohachi,木村 荘八,きむら しょうはち,Kimura Shohachi,Kimura Shōhachi
sekine-shoji,関根 正二,せきね しょうじ,Sekine Shoji,Sekine Shōji
saeki-yuzo,佐伯 祐三,さえき ゆうぞう,Saeki Yuzo,Saeki Yūzō
yasui-sotaro,安井 曾太郎,やすい そうたろう,Yasui Sotaro,Yasui Sōtarō
umehara-ryuzaburo,梅原 龍三郎,うめはら りゅうざぶろう,Umehara Ryuzaburo,Umehara Ryūzaburō
suda-kunitaro,須田 国太郎,すだ くにたろう,Suda Kunitaro,Suda Kunitarō
migishi-kotaro,三岸 好太郎,みぎし こうたろう,Migishi Kotaro,Migishi Kōtarō
chokai-seiji,鳥海 青児,ちょうかい せいじ,Chokai Seiji,Chōkai Seiji
kojima-zenzaburo,児島 善三郎,こじま ぜんざぶろう,Kojima Zenzaburo,Kojima Zenzaburō
fukuzawa-ichiro,福沢 一郎,ふくざわ いちろう,Fukuzawa Ichiro,Fukuzawa Ichirō
koiso-ryohei,小磯 良平,こいそ りょうへい,Koiso Ryohei,Koiso Ryōhei
togo-seiji,東郷 青児,とうごう せいじ,Togo Seiji,Tōgō Seiji
miyamoto-saburo,宮本 三郎,みやもと さぶろう,Miyamoto Saburo,Miyamoto Saburō
koyama-keizo,小山 敬三,こやま けいぞう,Koyama Keizo,Koyama Keizō
yamashita-shintaro,山下 新太郎,やました しんたろう,Yamashita Shintaro,Yamashita Shintarō
takabatake-tatsushiro,高畠 達四郎,たかばたけ たつしろう,Takabatake Tatsushiro,Takabatake Tatsushirō
satomi-katsuzo,里見 勝蔵,さとみ かつぞう,Satomi Katsuzo,Satomi Katsuzō
suzuki-shintaro,鈴木 信太郎,すずき しんたろう,Suzuki Shintaro,Suzuki Shintarō
terauchi-manjiro,寺内 萬治郎,てらうち まんじろう,Terauchi Manjiro,Terauchi Manjirō
oshita-tojiro,大下 藤次郎,おおした とうじろう,Oshita Tojiro,Ōshita Tōjirō
aso-saburo,麻生 三郎,あそう さぶろう,Aso Saburo,Asō Saburō
inoue-chozaburo,井上 長三郎,いのうえ ちょうざぶろう,Inoue Chozaburo,Inoue Chōzaburō
noguchi-yataro,野口 弥太郎,のぐち やたろう,Noguchi Yataro,Noguchi Yatarō
bundo-shunkai,豊道 春海,ぶんどう しゅんかい,Bundo Shunkai,Bundō Shunkai
tsujimoto-shiyu,辻本 史邑,つじもと しゆう,Tsujimoto Shiyu,Tsujimoto Shiyū
teshima-yukei,手島 右卿,てしま ゆうけい,Teshima Yukei,Teshima Yūkei
hibino-goho,日比野 五鳳,ひびの ごほう,Hibino Goho,Hibino Gohō
ueda-sokyu,上田 桑鳩,うえだ そうきゅう,Ueda Sokyu,Ueda Sōkyū
kaneko-otei,金子 鷗亭,かねこ おうてい,Kaneko Otei,Kaneko Ōtei
ando-seiku,安東 聖空,あんどう せいくう,Ando Seiku,Andō Seikū
matsumoto-hosui,松本 芳翠,まつもと ほうすい,Matsumoto Hosui,Matsumoto Hōsui
kuwahara-suiho,桑原 翠邦,くわはら すいほう,Kuwahara Suiho,Kuwahara Suihō
osawa-gakyu,大澤 雅休,おおさわ がきゅう,Osawa Gakyu,Ōsawa Gakyū
murakami-santo,村上 三島,むらかみ さんとう,Murakami Santo,Murakami Santō
onoe-saishu,尾上 柴舟,おのえ さいしゅう,Onoe Saishu,Onoe Saishū
ono-gado,小野 鵞堂,おの がどう,Ono Gado,Ono Gadō
tanaka-kaido,田中 塊堂,たなか かいどう,Tanaka Kaido,Tanaka Kaidō
yamaoka-tesshu,山岡 鉄舟,やまおか てっしゅう,Yamaoka Tesshu,Yamaoka Tesshū
kitaoji-rosanjin,北大路 魯山人,きたおおじ ろさんじん,Kitaoji Rosanjin,Kitaōji Rosanjin
kamijo-shinzan,上條 信山,かみじょう しんざん,Kamijo Shinzan,Kamijō Shinzan
imai-ryosetsu,今井 凌雪,いまい りょうせつ,Imai Ryosetsu,Imai Ryōsetsu
inoue-yuichi,井上 有一,いのうえ ゆういち,Inoue Yuichi,Inoue Yūichi
takamura-kotaro,高村 光太郎,たかむら こうたろう,Takamura Kotaro,Takamura Kōtarō
kitamura-seibo,北村 西望,きたむら せいぼう,Kitamura Seibo,Kitamura Seibō
hirakushi-denchu,平櫛 田中,ひらくし でんちゅう,Hirakushi Denchu,Hirakushi Denchū
nakahara-teijiro,中原 悌二郎,なかはら ていじろう,Nakahara Teijiro,Nakahara Teijirō
ishii-tsuruzo,石井 鶴三,いしい つるぞう,Ishii Tsuruzo,Ishii Tsuruzō
shinkai-taketaro,新海 竹太郎,しんかい たけたろう,Shinkai Taketaro,Shinkai Taketarō
naito-shin,内藤 伸,ないとう しん,Naito Shin,Naitō Shin
yoshida-saburo,吉田 三郎,よしだ さぶろう,Yoshida Saburo,Yoshida Saburō
kato-kensei,加藤 顕清,かとう けんせい,Kato Kensei,Katō Kensei
sato-churyo,佐藤 忠良,さとう ちゅうりょう,Sato Churyo,Satō Chūryō
hongo-shin,本郷 新,ほんごう しん,Hongo Shin,Hongō Shin
sawada-seiko,澤田 政廣,さわだ せいこう,Sawada Seiko,Sawada Seikō
entsuba-katsuzo,圓鍔 勝三,えんつば かつぞう,Entsuba Katsuzo,Entsuba Katsuzō
amemiya-jiro,雨宮 治郎,あめみや じろう,Amemiya Jiro,Amemiya Jirō
sakurai-yuichi,桜井 祐一,さくらい ゆういち,Sakurai Yuichi,Sakurai Yūichi
mukai-ryokichi,向井 良吉,むかい りょうきち,Mukai Ryokichi,Mukai Ryōkichi
yasuda-ryumon,保田 龍門,やすだ りゅうもん,Yasuda Ryumon,Yasuda Ryūmon
miyagawa-kozan,宮川 香山,みやがわ こうざん,Miyagawa Kozan,Miyagawa Kōzan
hamada-shoji,濱田 庄司,はまだ しょうじ,Hamada Shoji,Hamada Shōji
kawai-kanjiro,河井 寛次郎,かわい かんじろう,Kawai Kanjiro,Kawai Kanjirō
arakawa-toyozo,荒川 豊蔵,あらかわ とよぞう,Arakawa Toyozo,Arakawa Toyozō
kaneshige-toyo,金重 陶陽,かねしげ とうよう,Kaneshige Toyo,Kaneshige Tōyō
kato-hajime,加藤 土師萌,かとう はじめ,Kato Hajime,Katō Hajime
miwa-kyuwa,三輪 休和,みわ きゅうわ,Miwa Kyuwa,Miwa Kyūwa
fujiwara-yu,藤原 雄,ふじわら ゆう,Fujiwara Yu,Fujiwara Yū
yamamoto-toshu,山本 陶秀,やまもと とうしゅう,Yamamoto Toshu,Yamamoto Tōshū
kondo-yuzo,近藤 悠三,こんどう ゆうぞう,Kondo Yuzo,Kondō Yūzō
kato-takuo,加藤 卓男,かとう たくお,Kato Takuo,Katō Takuo
tamura-koichi,田村 耕一,たむら こういち,Tamura Koichi,Tamura Kōichi
matsui-kosei,松井 康成,まつい こうせい,Matsui Kosei,Matsui Kōsei
shimaoka-tatsuzo,島岡 達三,しまおか たつぞう,Shimaoka Tatsuzo,Shimaoka Tatsuzō
kato-kozo,加藤 孝造,かとう こうぞう,Kato Kozo,Katō Kōzō
kamoda-shoji,加守田 章二,かもだ しょうじ,Kamoda Shoji,Kamoda Shōji
inagaki-toshijiro,稲垣 稔次郎,いながき としじろう,Inagaki Toshijiro,Inagaki Toshijirō
moriguchi-kako,森口 華弘,もりぐち かこう,Moriguchi Kako,Moriguchi Kakō
komiya-kosuke,小宮 康助,こみや こうすけ,Komiya Kosuke,Komiya Kōsuke
munehiro-rikizo,宗廣 力三,むねひろ りきぞう,Munehiro Rikizo,Munehiro Rikizō
kamakura-yoshitaro,鎌倉 芳太郎,かまくら よしたろう,Kamakura Yoshitaro,Kamakura Yoshitarō
tatsumura-heizo,龍村 平蔵,たつむら へいぞう,Tatsumura Heizo,Tatsumura Heizō
takano-shozan,高野 松山,たかの しょうざん,Takano Shozan,Takano Shōzan
otomaru-kodo,音丸 耕堂,おとまる こうどう,Otomaru Kodo,Otomaru Kōdō
akaji-yusai,赤地 友哉,あかじ ゆうさい,Akaji Yusai,Akaji Yūsai
oba-shogyo,大場 松魚,おおば しょうぎょ,Oba Shogyo,Ōba Shōgyo
himi-kodo,氷見 晃堂,ひみ こうどう,Himi Kodo,Himi Kōdō
sasaki-shodo,佐々木 象堂,ささき しょうどう,Sasaki Shodo,Sasaki Shōdō
naito-shiro,内藤 四郎,ないとう しろう,Naito Shiro,Naitō Shirō
sekiya-shiro,関谷 四郎,せきや しろう,Sekiya Shiro,Sekiya Shirō
hasuda-shugoro,蓮田 修吾郎,はすだ しゅうごろう,Hasuda Shugoro,Hasuda Shūgorō
chosa-yoshiyuki,帖佐 美行,ちょうさ よしゆき,Chosa Yoshiyuki,Chōsa Yoshiyuki
iizuka-rokansai,飯塚 琅玕斎,いいづか ろうかんさい,Iizuka Rokansai,Iizuka Rōkansai
hirata-goyo,平田 郷陽,ひらた ごうよう,Hirata Goyo,Hirata Gōyō
hori-ryujo,堀 柳女,ほり りゅうじょ,Hori Ryujo,Hori Ryūjo
kagoshima-juzo,鹿児島 寿蔵,かごしま じゅぞう,Kagoshima Juzo,Kagoshima Juzō
kagami-kozo,各務 鑛三,かがみ こうぞう,Kagami Kozo,Kagami Kōzō
iwata-toshichi,岩田 藤七,いわた とうしち,Iwata Toshichi,Iwata Tōshichi
fujita-kyohei,藤田 喬平,ふじた きょうへい,Fujita Kyohei,Fujita Kyōhei
namikawa-sosuke,濤川 惣助,なみかわ そうすけ,Namikawa Sosuke,Namikawa Sōsuke
shimooka-renjo,下岡 蓮杖,しもおか れんじょう,Shimooka Renjo,Shimooka Renjō
tamoto-kenzo,田本 研造,たもと けんぞう,Tamoto Kenzo,Tamoto Kenzō
fukuhara-shinzo,福原 信三,ふくはら しんぞう,Fukuhara Shinzo,Fukuhara Shinzō
nojima-yasuzo,野島 康三,のじま やすぞう,Nojima Yasuzo,Nojima Yasuzō
natori-yonosuke,名取 洋之助,なとり ようのすけ,Natori Yonosuke,Natori Yōnosuke
ueda-shoji,植田 正治,うえだ しょうじ,Ueda Shoji,Ueda Shōji
otsuji-kiyoji,大辻 清司,おおつじ きよじ,Otsuji Kiyoji,Ōtsuji Kiyoji
tomatsu-shomei,東松 照明,とうまつ しょうめい,Tomatsu Shomei,Tōmatsu Shōmei
narahara-ikko,奈良原 一高,ならはら いっこう,Narahara Ikko,Narahara Ikkō
maeda-shinzo,前田 真三,まえだ しんぞう,Maeda Shinzo,Maeda Shinzō
akiyama-shotaro,秋山 庄太郎,あきやま しょうたろう,Akiyama Shotaro,Akiyama Shōtarō
yamahata-yosuke,山端 庸介,やまはた ようすけ,Yamahata Yosuke,Yamahata Yōsuke
sawada-kyoichi,沢田 教一,さわだ きょういち,Sawada Kyoichi,Sawada Kyōichi
gocho-shigeo,牛腸 茂雄,ごちょう しげお,Gocho Shigeo,Gochō Shigeo
otake-shoji,大竹 省二,おおたけ しょうじ,Otake Shoji,Ōtake Shōji
ichinose-taizo,一ノ瀬 泰造,いちのせ たいぞう,Ichinose Taizo,Ichinose Taizō
fuchikami-hakuyo,淵上 白陽,ふちかみ はくよう,Fuchikami Hakuyo,Fuchikami Hakuyō
hidaka-chotaro,日高 長太郎,ひだか ちょうたろう,Hidaka Chotaro,Hidaka Chōtarō
kono-takashi,河野 鷹思,こうの たかし,Kono Takashi,Kōno Takashi
kamekura-yusaku,亀倉 雄策,かめくら ゆうさく,Kamekura Yusaku,Kamekura Yūsaku
tanaka-ikko,田中 一光,たなか いっこう,Tanaka Ikko,Tanaka Ikkō
yamashiro-ryuichi,山城 隆一,やましろ りゅういち,Yamashiro Ryuichi,Yamashiro Ryūichi
nakajo-masayoshi,仲條 正義,なかじょう まさよし,Nakajo Masayoshi,Nakajō Masayoshi
imatake-shichiro,今竹 七郎,いまたけ しちろう,Imatake Shichiro,Imatake Shichirō
ohashi-tadashi,大橋 正,おおはし ただし,Ohashi Tadashi,Ōhashi Tadashi
yanagi-sori,柳 宗理,やなぎ そうり,Yanagi Sori,Yanagi Sōri
kuramata-shiro,倉俣 史朗,くらまた しろう,Kuramata Shiro,Kuramata Shirō
cho-daisaku,長 大作,ちょう だいさく,Cho Daisaku,Chō Daisaku
takada-kenzo,高田 賢三,たかだ けんぞう,Takada Kenzo,Takada Kenzō
yunoki-samiro,柚木 沙弥郎,ゆのき さみろう,Yunoki Samiro,Yunoki Samirō
kuwasawa-yoko,桑沢 洋子,くわさわ ようこ,Kuwasawa Yoko,Kuwasawa Yōko
taro-okamoto,岡本 太郎,おかもと たろう,Okamoto Taro,Okamoto Tarō
jiro-yoshihara,吉原 治良,よしはら じろう,Yoshihara Jiro,Yoshihara Jirō
shozo-shimamoto,嶋本 昭三,しまもと しょうぞう,Shimamoto Shozo,Shimamoto Shōzō
saburo-murakami,村上 三郎,むらかみ さぶろう,Murakami Saburo,Murakami Saburō
yozo-ukita,浮田 要三,うきた ようぞう,Ukita Yozo,Ukita Yōzō
chiyu-uemae,上前 智祐,うえまえ ちゆう,Uemae Chiyu,Uemae Chiyū
jiro-takamatsu,高松 次郎,たかまつ じろう,Takamatsu Jiro,Takamatsu Jirō
tetsumi-kudo,工藤 哲巳,くどう てつみ,Kudo Tetsumi,Kudō Tetsumi
yoshishige-saito,斎藤 義重,さいとう よししげ,Saito Yoshishige,Saitō Yoshishige
katsuro-yoshida,吉田 克朗,よしだ かつろう,Yoshida Katsuro,Yoshida Katsurō
koji-enokura,榎倉 康二,えのくら こうじ,Enokura Koji,Enokura Kōji
hisao-domoto,堂本 尚郎,どうもと ひさお,Domoto Hisao,Dōmoto Hisao
shusaku-arakawa,荒川 修作,あらかわ しゅうさく,Arakawa Shusaku,Arakawa Shūsaku
kawabata-gyokusho,川端 玉章,かわばた ぎょくしょう,Kawabata Gyokusho,Kawabata Gyokushō
terazaki-kogyo,寺崎 広業,てらざき こうぎょう,Terazaki Kogyo,Terazaki Kōgyō
yuki-somei,結城 素明,ゆうき そめい,Yuki Somei,Yūki Somei
matsuoka-eikyu,松岡 映丘,まつおか えいきゅう,Matsuoka Eikyu,Matsuoka Eikyū
ikegami-shuho,池上 秀畝,いけがみ しゅうほ,Ikegami Shuho,Ikegami Shūho
kikuchi-hobun,菊池 芳文,きくち ほうぶん,Kikuchi Hobun,Kikuchi Hōbun
konoshima-okoku,木島 桜谷,このしま おうこく,Konoshima Okoku,Konoshima Ōkoku
tsuji-kako,都路 華香,つじ かこう,Tsuji Kako,Tsuji Kakō
yuasa-ichiro,湯浅 一郎,ゆあさ いちろう,Yuasa Ichiro,Yuasa Ichirō
mitsutani-kunishiro,満谷 国四郎,みつたに くにしろう,Mitsutani Kunishiro,Mitsutani Kunishirō
kanokogi-takeshiro,鹿子木 孟郎,かのこぎ たけしろう,Kanokogi Takeshiro,Kanokogi Takeshirō
minami-kunzo,南 薫造,みなみ くんぞう,Minami Kunzo,Minami Kunzō
ota-kijiro,太田 喜二郎,おおた きじろう,Ota Kijiro,Ōta Kijirō
kurata-hakuyo,倉田 白羊,くらた はくよう,Kurata Hakuyo,Kurata Hakuyō
kosugi-hoan,小杉 放菴,こすぎ ほうあん,Kosugi Hoan,Kosugi Hōan
kawashima-riichiro,川島 理一郎,かわしま りいちろう,Kawashima Riichiro,Kawashima Riichirō
tsuda-seifu,津田 青楓,つだ せいふう,Tsuda Seifu,Tsuda Seifū
masamune-tokusaburo,正宗 得三郎,まさむね とくさぶろう,Masamune Tokusaburo,Masamune Tokusaburō
kuroda-jutaro,黒田 重太郎,くろだ じゅうたろう,Kuroda Jutaro,Kuroda Jūtarō
kito-nabesaburo,鬼頭 鍋三郎,きとう なべさぶろう,Kito Nabesaburo,Kitō Nabesaburō
ihara-usaburo,伊原 宇三郎,いはら うさぶろう,Ihara Usaburo,Ihara Usaburō
osawa-shosuke,大沢 昌助,おおさわ しょうすけ,Osawa Shosuke,Ōsawa Shōsuke
okuda-genso,奥田 元宋,おくだ げんそう,Okuda Genso,Okuda Gensō
sato-taisei,佐藤 太清,さとう たいせい,Sato Taisei,Satō Taisei
kato-eizo,加藤 栄三,かとう えいぞう,Kato Eizo,Katō Eizō
kato-toichi,加藤 東一,かとう とういち,Kato Toichi,Katō Tōichi
fukuoji-horin,福王寺 法林,ふくおうじ ほうりん,Fukuoji Horin,Fukuōji Hōrin
shinkai-takezo,新海 竹蔵,しんかい たけぞう,Shinkai Takezo,Shinkai Takezō
miki-sosaku,三木 宗策,みき そうさく,Miki Sosaku,Miki Sōsaku
amada-kohei,雨田 光平,あまだ こうへい,Amada Kohei,Amada Kōhei
hinago-jitsuzo,日名子 実三,ひなご じつぞう,Hinago Jitsuzo,Hinago Jitsuzō
takeishi-kozaburo,武石 弘三郎,たけいし こうざぶろう,Takeishi Kozaburo,Takeishi Kōzaburō
fujikawa-yuzo,藤川 勇造,ふじかわ ゆうぞう,Fujikawa Yuzo,Fujikawa Yūzō
sasamura-sokajin,笹村 草家人,ささむら そうかじん,Sasamura Sokajin,Sasamura Sōkajin
azuma-kenjiro,吾妻 兼治郎,あづま けんじろう,Azuma Kenjiro,Azuma Kenjirō
eguchi-shu,江口 週,えぐち しゅう,Eguchi Shu,Eguchi Shū
ito-tozan,伊東 陶山,いとう とうざん,Ito Tozan,Itō Tōzan
uno-soyo,宇野 宗甕,うの そうよう,Uno Soyo,Uno Sōyō
kato-tokuro,加藤 唐九郎,かとう とうくろう,Kato Tokuro,Katō Tōkurō
kawamoto-goro,河本 五郎,かわもと ごろう,Kawamoto Goro,Kawamoto Gorō
kitade-tojiro,北出 塔次郎,きたで とうじろう,Kitade Tojiro,Kitade Tōjirō
yamazaki-kakutaro,山崎 覚太郎,やまざき かくたろう,Yamazaki Kakutaro,Yamazaki Kakutarō
iizuka-shokansai,飯塚 小玕斎,いいづか しょうかんさい,Iizuka Shokansai,Iizuka Shōkansai
ono-showasai,大野 昭和斎,おおの しょうわさい,Ono Showasai,Ōno Shōwasai
osumi-toshihira,大隅 俊平,おおすみ としひら,Osumi Toshihira,Ōsumi Toshihira
yokoyama-matsusaburo,横山 松三郎,よこやま まつさぶろう,Yokoyama Matsusaburo,Yokoyama Matsusaburō
fukuhara-roso,福原 路草,ふくはら ろそう,Fukuhara Roso,Fukuhara Rosō
ishizu-ryosuke,石津 良介,いしづ りょうすけ,Ishizu Ryosuke,Ishizu Ryōsuke
kageyama-koyo,影山 光洋,かげやま こうよう,Kageyama Koyo,Kageyama Kōyō
shimizu-buko,清水 武甲,しみず ぶこう,Shimizu Buko,Shimizu Bukō
otsuka-gen,大束 元,おおつか げん,Otsuka Gen,Ōtsuka Gen
fukushima-kikujiro,福島 菊次郎,ふくしま きくじろう,Fukushima Kikujiro,Fukushima Kikujirō
morooka-koji,師岡 宏次,もろおか こうじ,Morooka Koji,Morooka Kōji
kitadai-shozo,北代 省三,きただい しょうぞう,Kitadai Shozo,Kitadai Shōzō
komai-tetsuro,駒井 哲郎,こまい てつろう,Komai Tetsuro,Komai Tetsurō
okamoto-shinjiro,岡本 信治郎,おかもと しんじろう,Okamoto Shinjiro,Okamoto Shinjirō
toneyama-kojin,利根山 光人,とねやま こうじん,Toneyama Kojin,Toneyama Kōjin
tanaka-shintaro,田中 信太郎,たなか しんたろう,Tanaka Shintaro,Tanaka Shintarō
ida-shoichi,井田 照一,いだ しょういち,Ida Shoichi,Ida Shōichi
nishikawa-shundo,西川 春洞,にしかわ しゅんどう,Nishikawa Shundo,Nishikawa Shundō
takeda-kado,武田 霞洞,たけだ かどう,Takeda Kado,Takeda Kadō
watanabe-sao,渡辺 沙鴎,わたなべ さおう,Watanabe Sao,Watanabe Saō
matsui-joryu,松井 如流,まつい じょりゅう,Matsui Joryu,Matsui Joryū
osawa-chikutai,大澤 竹胎,おおさわ ちくたい,Osawa Chikutai,Ōsawa Chikutai
nakamura-sodo,中村 素堂,なかむら そどう,Nakamura Sodo,Nakamura Sodō
fukayama-ryudo,深山 龍洞,みやま りゅうどう,Miyama Ryudo,Miyama Ryūdō
hidai-shokin,比田井 小琴,ひだい しょうきん,Hidai Shokin,Hidai Shōkin
morita-shiryu,森田 子龍,もりた しりゅう,Morita Shiryu,Morita Shiryū
shinoda-toko,篠田 桃紅,しのだ とうこう,Shinoda Toko,Shinoda Tōkō
eguchi-sogen,江口 草玄,えぐち そうげん,Eguchi Sogen,Eguchi Sōgen
naito-rune,内藤 ルネ,ないとう るね,Naito Rune,Naitō Rune
hashiguchi-goyo,橋口 五葉,はしぐち ごよう,Hashiguchi Goyo,Hashiguchi Goyō
sano-shigejiro,佐野 繁次郎,さの しげじろう,Sano Shigejiro,Sano Shigejirō
ochi-hiroshi,大智 浩,おおち ひろし,Ochi Hiroshi,Ōchi Hiroshi
ito-mohei,伊東 茂平,いとう もへい,Ito Mohei,Itō Mohei
koike-iwataro,小池 岩太郎,こいけ いわたろう,Koike Iwataro,Koike Iwatarō
ito-chuta,伊東 忠太,いとう ちゅうた,Ito Chuta,Itō Chūta
katayama-tokuma,片山 東熊,かたやま とうくま,Katayama Tokuma,Katayama Tōkuma
tange-kenzo,丹下 健三,たんげ けんぞう,Tange Kenzo,Tange Kenzō
murano-togo,村野 藤吾,むらの とうご,Murano Togo,Murano Tōgo
taniguchi-yoshiro,谷口 吉郎,たにぐち よしろう,Taniguchi Yoshiro,Taniguchi Yoshirō
takamura-koun,高村 光雲,たかむら こううん,Takamura Koun,Takamura Kōun
yamazaki-choun,山崎 朝雲,やまざき ちょううん,Yamazaki Choun,Yamazaki Chōun
shono-shounsai,生野 祥雲斎,しょうの しょううんさい,Shono Shounsai,Shōno Shōunsai
