系譜	氏名	よみ	分野	重要無形文化財の名称	認定年	会員区分	所属（支部・部会）	生年	日本工芸会 作品掲載数	ARTerrace掲載	APJ 作家典拠	APJ 収蔵記録件数	材料充足度	充足度の根拠	接近経路（公開情報のみ）	出どころURL
伝統工芸（主）	山岸 一男	やまぎし かずお	漆芸	重要無形文化財「沈金」保持者	2018	正会員	石川支部、漆芸部会	1954年4月12日	110	○	1	2	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品110件）＋APJ官製の収蔵記録2件で作品の実在が裏付く	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/815/
伝統工芸（主）	山下 義人	やました よしと	漆芸	重要無形文化財「蒟醬」保持者	2013	正会員	四国支部、漆芸部会	1951年9月21日	77	—	1	7	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品77件）＋APJ官製の収蔵記録7件で作品の実在が裏付く	日本工芸会 四国支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/818/
伝統工芸（主）	小川 規三郎	おがわ きさぶろう	染織	重要無形文化財「献上博多織」保持者	2003	正会員	西部支部、染織部会	1936年11月30日	68	—	1	6	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品68件）＋APJ官製の収蔵記録6件で作品の実在が裏付く	日本工芸会 西部支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/551/
伝統工芸（主）	小宮 康正	こみや やすまさ	染織	重要無形文化財「江戸小紋」保持者	2018	正会員	東日本支部、染織部会	1956年4月27日	84	○	1	50	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品84件）＋APJ官製の収蔵記録50件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/596/
伝統工芸（主）	佐々木 苑子	ささき そのこ	染織	重要無形文化財「紬織」保持者	2005	正会員	東日本支部、染織部会	1939年7月4日	95	—	1	4	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品95件）＋APJ官製の収蔵記録4件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/599/
伝統工芸（主）	鈴田 滋人	すずた しげと	染織	重要無形文化財「木版摺更紗」保持者	2008	正会員	西部支部、染織部会	1954年6月20日	117	—	1	5	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品117件）＋APJ官製の収蔵記録5件で作品の実在が裏付く	日本工芸会 西部支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/613/
伝統工芸（主）	玉那覇 有公	たまなは ゆうこう	染織	重要無形文化財「紅型」保持者	1996	正会員	西部支部、染織部会	1936年10月22日	76	—	1	4	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品76件）＋APJ官製の収蔵記録4件で作品の実在が裏付く	日本工芸会 西部支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/620/
伝統工芸（主）	土屋 順紀	つちや よしのり	染織	重要無形文化財「紋紗」保持者	2010	正会員	東海支部、染織部会	1954年4月26日	87	—	1	2	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品87件）＋APJ官製の収蔵記録2件で作品の実在が裏付く	日本工芸会 東海支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/625/
伝統工芸（主）	二塚 長生	ふたつか おさお	染織	重要無形文化財「友禅」保持者	2010	正会員	石川支部、染織部会	1946年8月12日	96	—	1	4	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品96件）＋APJ官製の収蔵記録4件で作品の実在が裏付く	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/651/
伝統工芸（主）	村上 良子	むらかみ りょうこ	染織	重要無形文化財「紬織」保持者	2016	正会員	近畿支部、染織部会	1949年8月6日	112	—	1	2	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品112件）＋APJ官製の収蔵記録2件で作品の実在が裏付く	日本工芸会 近畿支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/674/
伝統工芸（主）	森口 邦彦	もりぐち くにひこ	染織	重要無形文化財「友禅」保持者	2007	正会員	近畿支部、染織部会	1941年2月18日	128	—	1	31	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品128件）＋APJ官製の収蔵記録31件で作品の実在が裏付く	日本工芸会 近畿支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/679/
伝統工芸（主）	伊勢﨑 淳	いせざき じゅん	陶芸	重要無形文化財「備前焼」保持者	2004				88	○	1	2	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品88件）＋APJ官製の収蔵記録2件で作品の実在が裏付く	日本工芸会 （公式ページに記載なし）（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/19/
伝統工芸（主）	五代 伊藤 赤水	いとう せきすい	陶芸	重要無形文化財「無名異焼」保持者	2003	正会員	東日本支部、陶芸部会	1941年6月24日	111	—	1	1	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品111件）＋APJ官製の収蔵記録1件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/23/
伝統工芸（主）	十四代 今泉 今右衛門	いまいずみ いまえもん	陶芸	重要無形文化財「色絵磁器」保持者	2014	正会員	西部支部、陶芸部会	1962年12月30日	68	○	1	3	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品68件）＋APJ官製の収蔵記録3件で作品の実在が裏付く	日本工芸会 西部支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/44/
伝統工芸（主）	神農 巌	しんのう いわお	陶芸	重要無形文化財「青磁」保持者	2024	正会員	近畿支部、陶芸部会	1957年6月12日	75	○	0	1	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品75件）＋APJ官製の収蔵記録1件で作品の実在が裏付く	日本工芸会 近畿支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/1598/
伝統工芸（主）	鈴木 藏	すずき おさむ	陶芸	重要無形文化財「志野」保持者	1994	正会員	東海支部、陶芸部会	1934年12月1日	125	—	1	16	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品125件）＋APJ官製の収蔵記録16件で作品の実在が裏付く	日本工芸会 東海支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/251/
伝統工芸（主）	中田 一於	なかだ かずお	陶芸	重要無形文化財「釉下彩」保持者	2025	正会員	石川支部、陶芸部会	1949年3月15日	96	—	1	6	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品96件）＋APJ官製の収蔵記録6件で作品の実在が裏付く	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/329/
伝統工芸（主）	原 清	はら きよし	陶芸	重要無形文化財「鉄釉陶器」保持者	2005	正会員	東日本支部、陶芸部会	1936年2月28日	140	○	2	49	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品140件）＋APJ官製の収蔵記録49件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/371/
伝統工芸（主）	福島 善三	ふくしま ぜんぞう	陶芸	重要無形文化財「小石原焼」保持者	2017	正会員	西部支部、陶芸部会	1959年10月29日	96	—	1	7	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品96件）＋APJ官製の収蔵記録7件で作品の実在が裏付く	日本工芸会 西部支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/384/
伝統工芸（主）	前田 昭博	まえた あきひろ	陶芸	重要無形文化財「白磁」保持者	2013	正会員	中国支部、陶芸部会	1954年5月1日	94	○	1	4	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品94件）＋APJ官製の収蔵記録4件で作品の実在が裏付く	日本工芸会 中国支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/402/
伝統工芸（主）	吉田 美統	よした みのり	陶芸	重要無形文化財「釉裏金彩」保持者	2001	正会員	石川支部、陶芸部会	1932年7月7日	113	○	1	8	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品113件）＋APJ官製の収蔵記録8件で作品の実在が裏付く	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/514/
伝統工芸（主）	川北 良造	かわきた りょうぞう	木竹工	重要無形文化財「木工芸」保持者	1994	正会員	石川支部、木竹工部会	1934年9月1日	122	○	1	17	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品122件）＋APJ官製の収蔵記録17件で作品の実在が裏付く	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/949/
伝統工芸（主）	岐部 笙芳	きべ せいほう	木竹工	重要無形文化財「竹工芸」保持者	2024	正会員	西部支部、木竹工部会	1951年7月22日	73	—	0	1	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品73件）＋APJ官製の収蔵記録1件で作品の実在が裏付く	日本工芸会 西部支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/1800/
伝統工芸（主）	須田 賢司	すだ けんじ	木竹工	重要無形文化財「木工芸」保持者	2014	正会員	東日本支部、木竹工部会	1954年6月27日	78	—	1	3	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品78件）＋APJ官製の収蔵記録3件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/969/
伝統工芸（主）	中川 清司	なかがわ きよつぐ	木竹工	重要無形文化財「木工芸」保持者	2001	正会員	近畿支部、木竹工部会	1942年9月18日	77	—	1	5	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品77件）＋APJ官製の収蔵記録5件で作品の実在が裏付く	日本工芸会 近畿支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/984/
伝統工芸（主）	藤塚  松星	ふじつか しょうせい	木竹工	重要無形文化財「竹工芸」保持者	2023	正会員	東日本支部、木竹工部会	1949年5月22日	67	—	1	3	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品67件）＋APJ官製の収蔵記録3件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/1014/
伝統工芸（主）	藤沼 昇	ふじぬま のぼる	木竹工	重要無形文化財「竹工芸」保持者	2012	正会員	東日本支部、木竹工部会	1945年6月15日	88	—	1	3	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品88件）＋APJ官製の収蔵記録3件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/1015/
伝統工芸（主）	村山 明	むらやま あきら	木竹工	重要無形文化財「木工芸」保持者	2003	正会員	近畿支部、木竹工部会	1944年3月25日	99	○	1	0	A	日本工芸会の公式作家ページ＋ARTerrace（EC）掲載で作品の実在が裏付く。APJの官製収蔵記録は0件	日本工芸会 近畿支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/1030/
伝統工芸（主）	角谷 勇圭	かくたに ゆうけい	金工	重要無形文化財「茶の湯釜」保持者	2021	正会員	近畿支部、金工部会	1942年10月17日	47	—	0	0	B	日本工芸会の公式作家ページ（作品47件）はあるが、APJの官製収蔵記録0件・ARTerrace掲載なし＝作品の実在を裏付ける外部記録の追加調査が要る	日本工芸会 近畿支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/851/
伝統工芸（主）	西 勝廣	にし かつひろ	漆芸	重要無形文化財「沈金」保持者	2024	正会員	石川支部、漆芸部会	1955年2月5日	84	—	0	0	B	日本工芸会の公式作家ページ（作品84件）はあるが、APJの官製収蔵記録0件・ARTerrace掲載なし＝作品の実在を裏付ける外部記録の追加調査が要る	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/780/
伝統工芸（主）	林 曉	はやし さとる	漆芸	重要無形文化財「髹漆」保持者	2025	正会員	富山支部、漆芸部会	1954年4月25日	89	—	0	0	B	日本工芸会の公式作家ページ（作品89件）はあるが、APJの官製収蔵記録0件・ARTerrace掲載なし＝作品の実在を裏付ける外部記録の追加調査が要る	日本工芸会 富山支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/786/
伝統工芸（主）	新垣 幸子	あらかき さちこ	染織	重要無形文化財「八重山上布」保持者	2024	正会員	西部支部、染織部会	1945年10月30日	36	—	0	0	B	日本工芸会の公式作家ページ（作品36件）はあるが、APJの官製収蔵記録0件・ARTerrace掲載なし＝作品の実在を裏付ける外部記録の追加調査が要る	日本工芸会 西部支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/534/
伝統工芸（主）	松原 伸生	まつばら のぶお	染織	重要無形文化財「長板中形」保持者	2023	正会員	東日本支部、染織部会	1965年6月14日	96	—	0	0	B	日本工芸会の公式作家ページ（作品96件）はあるが、APJの官製収蔵記録0件・ARTerrace掲載なし＝作品の実在を裏付ける外部記録の追加調査が要る	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/668/
伝統工芸（主）	宮本  貞治	みやもと ていじ	木竹工	重要無形文化財「木工芸」保持者	2023	正会員	近畿支部、木竹工部会	1953年10月17日	99	—	0	0	B	日本工芸会の公式作家ページ（作品99件）はあるが、APJの官製収蔵記録0件・ARTerrace掲載なし＝作品の実在を裏付ける外部記録の追加調査が要る	日本工芸会 近畿支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/1028/
伝統工芸（主）	渡辺 晃男	わたなべ あきお	木竹工	重要無形文化財「木工芸」保持者	2025	正会員	東日本支部、木竹工部会	1953年6月13日	68	—	0	0	B	日本工芸会の公式作家ページ（作品68件）はあるが、APJの官製収蔵記録0件・ARTerrace掲載なし＝作品の実在を裏付ける外部記録の追加調査が要る	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/1047/
