系譜	氏名	よみ	役職	優先度	APJ 作家典拠	APJ 収蔵記録件数	材料充足度	充足度の根拠	接近経路（公開情報のみ）	あつぺくと627との関係	出どころURL
現代工芸	武田 司	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 武田霞洞	http://www.gendaikougei.or.jp/member.html
現代工芸	多智花 佐代子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	田中 紀子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 田中一村・田中保・田中塊堂	http://www.gendaikougei.or.jp/member.html
現代工芸	田部 健次	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	外村 達彦	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	中島 敦子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	西 緑	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	西本 直文	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	西山 志郎	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 西山翠嶂	http://www.gendaikougei.or.jp/member.html
現代工芸	橋本 昇三	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 橋本雅邦・橋本関雪・橋本明治	http://www.gendaikougei.or.jp/member.html
現代工芸	馬場 九洲夫	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	早瀨 郁惠	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	平野 朱美	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	古屋 真知子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	堀 菱子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	本間 秀昭	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	前川 正治	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 前川國男	http://www.gendaikougei.or.jp/member.html
現代工芸	松木 光治	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	水野 真澄	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	向井 弘子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 向井良吉	http://www.gendaikougei.or.jp/member.html
現代工芸	村尾 彰	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	森田 清照	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 森田恒友・森田子龍	http://www.gendaikougei.or.jp/member.html
現代工芸	門田 祐一	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	安田 佳代	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 安田靫彦	http://www.gendaikougei.or.jp/member.html
現代工芸	山口 和子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 山口華楊・山口蓬春・山口長男	http://www.gendaikougei.or.jp/member.html
現代工芸	山崎 輝子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 山崎朝雲・山崎つる子・山崎覚太郎	http://www.gendaikougei.or.jp/member.html
現代工芸	山元 健司	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 山元春挙	http://www.gendaikougei.or.jp/member.html
現代工芸	山本 由紀子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 山本丘人・山本芳翠・山本豊市	http://www.gendaikougei.or.jp/member.html
現代工芸	行吉 志津枝	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	若山 裕昭	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	渡辺 雅旺	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 渡辺義雄・渡辺力・渡辺沙鴎	http://www.gendaikougei.or.jp/member.html
