作家(handle)	作家名	欄	固有名詞(ja)	含まれる人名	種別	言語	現表記	人名部分	判定	判定の理由	社内の照合(本人ページのローマ字)	探索経路
tomioka-tessai	富岡 鉄斎	collection	清荒神清澄寺鉄斎美術館	富岡鉄斎	館・施設	de	Tessai-Museum, Kiyoshikōjin Seichō-ji	Tessai	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Tessai）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
tomioka-tessai	富岡 鉄斎	masterworks[1]	阿倍仲麿明州望月図	阿倍仲麻呂	作品名	romaji	Abe no Nakamaro Meishū Bōgetsu-zu	Abe no Nakamaro Meishū Bōgetsu-zu	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
tomioka-tessai	富岡 鉄斎	masterworks[1]	阿倍仲麿明州望月図	阿倍仲麻呂	作品名	en	Abe no Nakamaro Gazing at the Moon at Mingzhou	Abe Nakamaro Gazing Moon Mingzhou	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
yokoyama-taikan	横山 大観	collection	横山大観記念館	横山大観	館・施設	ko	요코야마 다이칸 기념관	요코야마 다이칸 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://taikan.tokyo/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
hishida-shunso	菱田 春草	masterworks[2]	王昭君	王昭君	作品名	romaji	Ō Shōkun	Ō Shōkun	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
hishida-shunso	菱田 春草	masterworks[2]	王昭君	王昭君	作品名	en	Wang Zhaojun	Wang Zhaojun	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
shimomura-kanzan	下村 観山	masterworks[0]	弱法師	俊徳丸（能の登場人物）	作品名	romaji	Yoroboshi	Yoroboshi	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
shimomura-kanzan	下村 観山	masterworks[0]	弱法師	俊徳丸（能の登場人物）	作品名	en	Yoroboshi (The Blind Beggar-Monk)	Yoroboshi Blind Beggar Monk	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
yasuda-yukihiko	安田 靫彦	masterworks[1]	飛鳥の春の額田王	額田王	作品名	romaji	Asuka no Haru no Nukata no Ōkimi	Asuka no Haru no Nukata no Ōkimi	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
yasuda-yukihiko	安田 靫彦	masterworks[1]	飛鳥の春の額田王	額田王	作品名	en	Princess Nukata in the Spring of Asuka	Princess Nukata Spring Asuka	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
yasuda-yukihiko	安田 靫彦	masterworks[2]	五合庵の良寛	良寛	作品名	romaji	Gōgōan no Ryōkan	Gōgōan no Ryōkan	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
yasuda-yukihiko	安田 靫彦	masterworks[2]	五合庵の良寛	良寛	作品名	en	Ryōkan at the Gōgōan Hermitage	Ryōkan Gōgōan Hermitage	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
maeda-seison	前田 青邨	masterworks[0]	洞窟の頼朝	源頼朝	作品名	romaji	Dōkutsu no Yoritomo	Dōkutsu no Yoritomo	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
maeda-seison	前田 青邨	masterworks[0]	洞窟の頼朝	源頼朝	作品名	en	Yoritomo in a Cave	Yoritomo Cave	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
maeda-seison	前田 青邨	masterworks[2]	知盛幻生	平知盛	作品名	romaji	Tomomori Gensei	Tomomori Gensei	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
maeda-seison	前田 青邨	masterworks[2]	知盛幻生	平知盛	作品名	en	The Apparition of Tomomori	Apparition Tomomori	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
kobayashi-kokei	小林 古径	masterworks[1]	清姫	清姫（道成寺伝説）	作品名	romaji	Kiyohime	Kiyohime	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
kobayashi-kokei	小林 古径	masterworks[1]	清姫	清姫（道成寺伝説）	作品名	en	Kiyohime	Kiyohime	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
hayami-gyoshu	速水 御舟	collection	山種美術館	山崎種二	館・施設	ko	야마타네 미술관	야마타네 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.yamatane-museum.jp/english/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
hayami-gyoshu	速水 御舟	collection	山種美術館	山崎種二	館・施設	fr	Musée d'art Yamatane	d'art Yamatane	C	★人名部分の綴りが当社の英語表記（Yamatane）と食い違う（d'art Yamatane）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
hayami-gyoshu	速水 御舟	collection	山種美術館	山崎種二	館・施設	es	Museo de Arte Yamatane	Arte Yamatane	C	★人名部分の綴りが当社の英語表記（Yamatane）と食い違う（Arte Yamatane）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
kawabata-ryushi	川端 龍子	collection	大田区立龍子記念館	川端龍子	館・施設	en	Ryūshi Memorial Hall of Ōta Ward	Ryūshi	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Ryūshi）	Wikidata P856→https://www.ota-bunka.or.jp/facilities/ryushi（＋言語切替リンク）を取得し全文検索→英名0件
kawabata-ryushi	川端 龍子	collection	大田区立龍子記念館	川端龍子	館・施設	ko	오타구립 류시 기념관	오타구립 류시 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.ota-bunka.or.jp/facilities/ryushi（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
kawabata-ryushi	川端 龍子	collection	大田区立龍子記念館	川端龍子	館・施設	fr	Mémorial Ryūshi de l'arrondissement d'Ōta	Ryūshi	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Ryūshi）	公式サイト（https://www.ota-bunka.or.jp/facilities/ryushi）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kawabata-ryushi	川端 龍子	collection	大田区立龍子記念館	川端龍子	館・施設	es	Sala Conmemorativa Ryūshi del distrito de Ōta	Ryūshi	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Ryūshi）	公式サイト（https://www.ota-bunka.or.jp/facilities/ryushi）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kawabata-ryushi	川端 龍子	collection	大田区立龍子記念館	川端龍子	館・施設	de	Ryūshi-Gedenkhalle des Bezirks Ōta	Ryūshi	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Ryūshi）	公式サイト（https://www.ota-bunka.or.jp/facilities/ryushi）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
takeuchi-seiho	竹内 栖鳳	collection	山種美術館	山崎種二	館・施設	ko	야마타네미술관	야마타네미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.yamatane-museum.jp/english/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
takeuchi-seiho	竹内 栖鳳	collection	山種美術館	山崎種二	館・施設	fr	musée d'art Yamatane	d'art Yamatane	C	★人名部分の綴りが当社の英語表記（Yamatane）と食い違う（d'art Yamatane）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
takeuchi-seiho	竹内 栖鳳	collection	山種美術館	山崎種二	館・施設	es	Museo de Arte Yamatane	Arte Yamatane	C	★人名部分の綴りが当社の英語表記（Yamatane）と食い違う（Arte Yamatane）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
uemura-shoen	上村 松園	collection	松伯美術館	上村松園・上村松篁	館・施設	ko	쇼하쿠미술관	쇼하쿠미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://www.kintetsu-g-hd.co.jp/culture/shohaku/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
uemura-shoen	上村 松園	collection	松伯美術館	上村松園・上村松篁	館・施設	fr	Musée d'art Shohaku	d'art Shohaku	C	★人名部分の綴りが当社の英語表記（Shohaku）と食い違う（d'art Shohaku）。相違の根拠は確認できない	★本人ページのローマ字（Uemura Shōen / Uemura Shōkō）と語が一致しない	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
uemura-shoen	上村 松園	collection	松伯美術館	上村松園・上村松篁	館・施設	es	Museo de Arte Shohaku	Arte Shohaku	C	★人名部分の綴りが当社の英語表記（Shohaku）と食い違う（Arte Shohaku）。相違の根拠は確認できない	★本人ページのローマ字（Uemura Shōen / Uemura Shōkō）と語が一致しない	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
murakami-kagaku	村上 華岳	masterworks[0]	日高河清姫図	清姫（道成寺伝説）	作品名	romaji	Hidakagawa Kiyohime-zu	Hidakagawa Kiyohime-zu	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
murakami-kagaku	村上 華岳	masterworks[0]	日高河清姫図	清姫（道成寺伝説）	作品名	en	Hidaka River: Kiyohime	Hidaka River Kiyohime	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
ono-chikkyo	小野 竹喬	collection	笠岡市立竹喬美術館	小野竹喬	館・施設	ko	가사오카시립 짓쿄 미술관	가사오카시립 짓쿄 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://www.city.kasaoka.okayama.jp/site/museum/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
domoto-insho	堂本 印象	collection	京都府立堂本印象美術館	堂本印象	館・施設	ko	교토부립 도모토인쇼미술관	교토부립 도모토인쇼미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://insho-domoto.com（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
domoto-insho	堂本 印象	masterworks[0]	木華開耶媛	木花開耶姫（記紀の神）	作品名	romaji	Konohanasakuya-hime	Konohanasakuya-hime	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
domoto-insho	堂本 印象	masterworks[0]	木華開耶媛	木花開耶姫（記紀の神）	作品名	en	Konohanasakuya-hime	Konohanasakuya hime	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
nakamura-daizaburo	中村 大三郎	masterworks[1]	聖女マリア	聖母マリア	作品名	romaji	Seijo Maria	Seijo Maria	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
nakamura-daizaburo	中村 大三郎	masterworks[1]	聖女マリア	聖母マリア	作品名	en	The Holy Virgin Mary	Holy Virgin Mary	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
hashimoto-kansetsu	橋本 関雪	collection	白沙村荘橋本関雪記念館	橋本関雪	館・施設	en	Hakusasonsō Hashimoto Kansetsu Memorial Museum	Hashimoto Kansetsu	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Hashimoto/Kansetsu）	Wikidata P856→http://www.hakusasonso.jp/（＋言語切替リンク）を取得し全文検索→英名0件
hashimoto-kansetsu	橋本 関雪	collection	白沙村荘橋本関雪記念館	橋本関雪	館・施設	ko	하쿠사손소 하시모토 간세쓰 기념관	하쿠사손소 하시모토 간세쓰 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://www.hakusasonso.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
hashimoto-kansetsu	橋本 関雪	collection	白沙村荘橋本関雪記念館	橋本関雪	館・施設	fr	Musée commémoratif Hashimoto Kansetsu (Hakusasonsō)	Hashimoto Kansetsu	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Hashimoto/Kansetsu）	公式サイト（http://www.hakusasonso.jp/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hashimoto-kansetsu	橋本 関雪	collection	白沙村荘橋本関雪記念館	橋本関雪	館・施設	es	Museo Conmemorativo Hashimoto Kansetsu (Hakusasonsō)	Hashimoto Kansetsu	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Hashimoto/Kansetsu）	公式サイト（http://www.hakusasonso.jp/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hashimoto-kansetsu	橋本 関雪	collection	白沙村荘橋本関雪記念館	橋本関雪	館・施設	de	Hakusasonsō Hashimoto-Kansetsu-Gedenkmuseum	Hashimoto Kansetsu	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Hashimoto/Kansetsu）	公式サイト（http://www.hakusasonso.jp/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hashimoto-kansetsu	橋本 関雪	masterworks[0]	寒山拾得	寒山・拾得	作品名	romaji	Kanzan Jittoku	Kanzan Jittoku	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
hashimoto-kansetsu	橋本 関雪	masterworks[0]	寒山拾得	寒山・拾得	作品名	en	Hanshan and Shide	Hanshan Shide	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
matsubayashi-keigetsu	松林 桂月	masterworks[1]	酔李白図	李白	作品名	romaji	Sui Rihaku-zu	Sui Rihaku-zu	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
matsubayashi-keigetsu	松林 桂月	masterworks[1]	酔李白図	李白	作品名	en	The Drunken Li Bai	Drunken Bai	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
kitano-tsunetomi	北野 恒富	masterworks[1]	淀君	淀殿（淀君）	作品名	romaji	Yodogimi	Yodogimi	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
kitano-tsunetomi	北野 恒富	masterworks[1]	淀君	淀殿（淀君）	作品名	en	Lady Yodo	Lady Yodo	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
shima-seien	島 成園	masterworks[1]	宗右衛門町の夕	宗右衛門（町名の由来・当方未確認）	作品名	romaji	Sōemonchō no Yū	Sōemonchō no Yū	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
shima-seien	島 成園	masterworks[1]	宗右衛門町の夕	宗右衛門（町名の由来・当方未確認）	作品名	en	Evening in Sōemonchō	Evening Sōemonchō	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
kaburaki-kiyokata	鏑木 清方	collection	鎌倉市鏑木清方記念美術館	鏑木清方	館・施設	en	Kaburaki Kiyokata Memorial Art Museum, Kamakura	Kaburaki Kiyokata	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Kaburaki/Kiyokata）	Wikidataに該当項目／公式サイトURLの登録なし
kaburaki-kiyokata	鏑木 清方	collection	鎌倉市鏑木清方記念美術館	鏑木清方	館・施設	ko	가마쿠라시 가부라키 기요카타 기념미술관	가마쿠라시 가부라키 기요카타 기념미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
kaburaki-kiyokata	鏑木 清方	collection	鎌倉市鏑木清方記念美術館	鏑木清方	館・施設	fr	Musée commémoratif Kaburaki Kiyokata, Kamakura	Kaburaki Kiyokata	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kaburaki/Kiyokata）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kaburaki-kiyokata	鏑木 清方	collection	鎌倉市鏑木清方記念美術館	鏑木清方	館・施設	es	Museo Conmemorativo Kaburaki Kiyokata, Kamakura	Kaburaki Kiyokata	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kaburaki/Kiyokata）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kaburaki-kiyokata	鏑木 清方	collection	鎌倉市鏑木清方記念美術館	鏑木清方	館・施設	de	Kaburaki-Kiyokata-Gedenkkunstmuseum, Kamakura	Kaburaki Kiyokata	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kaburaki/Kiyokata）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kaburaki-kiyokata	鏑木 清方	masterworks[1]	三遊亭円朝像	三遊亭円朝	作品名	romaji	Sanyūtei Enchō-zō	Sanyūtei Enchō-zō	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
kaburaki-kiyokata	鏑木 清方	masterworks[1]	三遊亭円朝像	三遊亭円朝	作品名	en	Portrait of Sanyūtei Enchō	Portrait Sanyūtei Enchō	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
kaburaki-kiyokata	鏑木 清方	masterworks[2]	一葉	一葉（当方未特定・樋口一葉の可能性）	作品名	romaji	Ichiyō	Ichiyō	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
kaburaki-kiyokata	鏑木 清方	masterworks[2]	一葉	一葉（当方未特定・樋口一葉の可能性）	作品名	en	Higuchi Ichiyō	Higuchi Ichiyō	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
kawai-gyokudo	川合 玉堂	collection	玉堂美術館	川合玉堂	館・施設	ko	교쿠도 미술관	교쿠도 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://www.gyokudo.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
katayama-nampu	堅山 南風	masterworks[1]	菊慈童	慈童（能の登場人物）	作品名	romaji	Kiku Jidō	Kiku Jidō	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
