優先度	没年	束	作家	欄	疑義の内容	本便の裏取り結果	出典	状態
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	1978	第48束	三木 富雄	略歴	「なぜ耳なのかを語らないまま」＝豊田市美術館の資料では発言が残るとされ断定しにくい	本便では裏取りしていない（上位10件の枠外）	—	未着手
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	1978	第49束	津田 青楓	略歴	「釈放の条件として二科会を離れた」＝脱会が釈放条件ではなかった可能性	本便では裏取りしていない（上位10件の枠外）	—	未着手
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	1916	第52束	渡辺 沙鴎	略歴	「名古屋生まれ」＝成田山書道美術館は春日井生まれとする	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	2020	第47束	戸田 ツトム	略歴	2020年に没しているが、原文が現在の肩書きのような書き方になっている	★反証。当社の略歴は627名中383名（61%）が「〜で知られる。」等の現在形終止を使い、2000年以降に物故した178名でも108名（61%）が同じ。戸田さま個別の誤りではなく、当社の文体の型そのもの。個別是正の対象にすると型が壊れる。	当方が627名の bio.ja を機械照合（2026-08-21）	是正しない（型の問題として別途）
C（その他＝表現・年代・帰属）	2019	第49束	山崎 つる子	略歴	「鏡のように光を反射する赤い箱」＝赤いビニール製で内部照明を用いた立方体状の作品を指す可能性	★裏が取れた。東京文化財研究所『日本美術年鑑』令和2年版の物故者記事＝1956年 野外具体美術展で「赤い硬質ビニールを木に括って張り巡らせた蚊帳状の立体作品（1985年に再制作、「赤」兵庫県立美術館蔵）」。鏡は別系統＝「金属板を支持体とし、これに鏡やセロファンを貼付」。当社の記述は2つの別作品を1つに混ぜている疑いが濃い。★代表作欄の「赤い箱」も、官製の作品名は「赤」。	東京文化財研究所 物故者記事 https://www.tobunken.go.jp/materials/bukko/2041041.html （2026-08-21取得・逐語確認）	是正候補（高）
C（その他＝表現・年代・帰属）	2013	第52束	渡辺 力	略歴	「籐を編んだ丸いスツール」＝著名な籐製「トリイスツール」は丸形ではない	★当社データ内部の食い違いを確認。代表作欄＝「トリイスツール、掛時計などの製品」／略歴＝「籐を編んだ丸いスツール」。トリイスツールは鳥居形で丸形ではない。別作品（1950年の籐製スツール）を指している可能性が高いが、本便では作品の同定に至らず。	当社ライブデータの実測（2026-08-21）。作品の同定は未確認	要追加調査
C（その他＝表現・年代・帰属）	2003	第51束	若林 奮	功績	「重い鉄のかたまり」＝《大気中の緑色に属するもの》の素材は鉛・木とする修復報告がある	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	2002	第52束	山田 貢	略歴	「京都で友禅を学び」＝公的資料では14歳で中村勝馬に師事（東京友禅系）	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	2002	第52束	山田 貢	略歴	「日展を舞台に活躍」＝主要な発表の場は日本伝統工芸展とする資料がある	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	2001	第52束	山田 光	略歴	「京都に生まれた」＝東文研ほかでは東京生まれ・岐阜市育ち	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	2000	第48束	殿村 藍田	略歴	「篆隷を得意とした」＝謙慎書道会の略歴に該当記載がなく行草とする資料がある	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1995	第51束	分部 順治	略歴	「文展・帝展から日展まで」＝初入選は帝展で、その後は新文展	★裏が取れた。20世紀日本人名事典「昭和7年帝展に初入選」／日本人名大辞典+Plus「昭和7年帝展に初入選。12年,13年新文展で特選」。旧文展（〜1918年）は分部さま（1911年生）の年代と合わない。	コトバンク所収 20世紀日本人名事典／デジタル版 日本人名大辞典+Plus（2026-08-21取得）	是正候補
C（その他＝表現・年代・帰属）	1995	第51束	分部 順治	略歴	「東京美術学校で塑造を学び」＝東文研の略歴では彫刻科で木彫を学ぶ	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1994	第48束	利根山 光人	略歴	「茨城県に生まれた」＝東文研は東京都世田谷区生まれ・資料間で食い違う	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1978	第47束	東郷 青児	略歴	「二十代の七年間をフランスで過ごした」＝公式略歴では24歳から7年間	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1972	第47束	徳岡 神泉	略歴	《狂女》は1919年の作品で「戦後は日展を舞台に」と時系列が合わない	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1972	第50束	内田 祥三	功績	「東京大学総長」＝在任当時の正式な役職名は東京帝国大学総長	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1964	第47束	寺内 萬治郎	略歴	《横たわる裸婦》＝公的資料では《横臥裸婦》	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1963	第48束	富本 憲吉	略歴	「模様から模様を造らず」＝文化遺産データベースでは「模様より模様を作らず」（逐語引用）	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1927	第47束	戸張 孤雁	略歴	「新版画」＝一般に創作版画の系統とされ、美術史上の「新版画」とは別	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1924	第48束	富岡 鉄斎	略歴	「独学」＝小田海僊・浮田一蕙らに学んだとの記載がある	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1919	第47束	寺崎 広業	略歴	《渓山幽邃》＝小室翠雲の作品として公的資料に載るとの指摘	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1916	第52束	渡辺 沙鴎	略歴	「日本書道会などで展覧会を主宰した」＝確認できるのは発足への尽力・幹事	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1904	第50束	上野 彦馬	略歴	「写真の入門書を著した」＝『舎密局必携』は化学実験の手引書で写真術は付録	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1904	第50束	上野 彦馬	略歴	「坂本龍馬をはじめとする」＝坂本龍馬の肖像は井上俊三の撮影とする資料がある	本便では裏取りしていない（上位10件の枠外）	—	未着手
C（その他＝表現・年代・帰属）	1875	第50束	内田 九一	略歴	「上野彦馬らに学び」＝前田玄造らに学んだとする資料がある	本便では裏取りしていない（上位10件の枠外）	—	未着手
