no	handle	name_ja	name_en	分類(A/B/C)	分類根拠	フラット正本(masterworks_text)全文	配列(artist_i18n.masterworks ja)全文（項目は\nで連結）	画面(ja)で実際に見えている側
11	jiro-yoshihara	吉原 治良	Yoshihara Jirō	A	全項目が同定一致（表記ゆれ・括弧半角全角差のみ）	円（作品）、抽象絵画	円 / 抽象絵画	配列(ja)（JSが上書き表示）
12	saburo-murakami	村上 三郎	Murakami Saburō	A	全項目が同定一致（表記ゆれ・括弧半角全角差のみ）	通過（紙を破る作品）	通過	配列(ja)（JSが上書き表示）
13	tsuruko-yamazaki	山崎 つる子	Yamazaki Tsuruko	A	全項目が同定一致（表記ゆれ・括弧半角全角差のみ）	ブリキの作品、赤い箱（反射の作品）	ブリキの作品 / 赤い箱	配列(ja)（JSが上書き表示）
14	sadaharu-horio	堀尾 貞治	Horio Sadaharu	A	全項目が同定一致（表記ゆれ・括弧半角全角差のみ）	あたりまえのこと、空気（作品）	あたりまえのこと / 空気	配列(ja)（JSが上書き表示）
15	yozo-ukita	浮田 要三	Ukita Yōzō	A	全項目が同定一致（表記ゆれ・括弧半角全角差のみ）	きりん（児童詩誌の編集）、抽象絵画	きりん / 抽象絵画	配列(ja)（JSが上書き表示）
16	yoshida-toshio	吉田 稔郎	Yoshida Toshio	A	全項目が同定一致（表記ゆれ・括弧半角全角差のみ）	板を焼いた作品（Burn）、スポンジ・泡の作品	板を焼いた作品 / スポンジ・泡の作品	配列(ja)（JSが上書き表示）
17	tomio-miki	三木 富雄	Miki Tomio	B	両者に同定一致する項目が1件もない＝作品名そのものが別	EAR（耳）	耳（金属の作品）	配列(ja)（JSが上書き表示）
18	shigeko-kubota	久保田 成子	Kubota Shigeko	A	全項目が同定一致（表記ゆれ・括弧半角全角差のみ）	階段（ビデオ彫刻）、デュシャンピアナ	階段 / デュシャンピアナ	配列(ja)（JSが上書き表示）
19	masunobu-yoshimura	吉村 益信	Yoshimura Masunobu	A	全項目が同定一致（表記ゆれ・括弧半角全角差のみ）	ネオ・ダダの作品、豚（作品）	ネオ・ダダの作品 / 豚	配列(ja)（JSが上書き表示）
20	minoru-niizuma	新妻 實	Niizuma Minoru	B	両者に同定一致する項目が1件もない＝作品名そのものが別	眼の城（1965年・東京国立近代美術館蔵）	石の抽象彫刻	配列(ja)（JSが上書き表示）
21	masamune-tokusaburo	正宗 得三郎	Masamune Tokusaburō	C	フラット空・配列のみ値あり		紅葉 / 卓上静物	配列(ja)（JSが上書き表示）
22	nakayama-takashi	中山 巍	Nakayama Takashi	B	両者に同定一致する項目が1件もない＝作品名そのものが別	マチス礼讃、樵夫、フィレンチェの街	西洋婦人像	配列(ja)（JSが上書き表示）
23	hayashi-shigeyoshi	林 重義	Hayashi Shigeyoshi	B	両者に同定一致する項目が1件もない＝作品名そのものが別	庭の一隅、秋の山路、舞妓	金魚と裸女 / 支那の女	配列(ja)（JSが上書き表示）
24	nakamura-takuji	中村 琢二	Nakamura Takuji	B	両者に同定一致する項目が1件もない＝作品名そのものが別	画室の女、男の像、扇を持つ女	画室の自像 / 漁夫	配列(ja)（JSが上書き表示）
25	sekino-seiun	関野 聖雲	Sekino Seiun	B	一部一致・一部不一致の混在＝一致1件／フラット側のみ0件（）／配列側のみ1件（伎芸天）	吉祥天	伎芸天 / 吉祥天	配列(ja)（JSが上書き表示）
26	numata-ichiga	沼田 一雅	Numata Ichiga	B	両者に同定一致する項目が1件もない＝作品名そのものが別	正木直彦像、ワグネル博士像、能楽師梅若実翁像	白衣観音 / 犬	配列(ja)（JSが上書き表示）
27	fujikawa-yuzo	藤川 勇造	Fujikawa Yūzō	B	一部一致・一部不一致の混在＝一致1件／フラット側のみ0件（）／配列側のみ1件（女の首）	マドモアゼル・スザンヌ	マドモアゼル・スザンヌ / 女の首	配列(ja)（JSが上書き表示）
28	sakata-minoru	坂田 稔	Sakata Minoru	B	一部一致・一部不一致の混在＝一致1件／フラット側のみ3件（危機／球体について／門入村）／配列側のみ1件（前衛・構成写真作品）	造型写真、危機、球体について、門入村	造型写真 / 前衛・構成写真作品	配列(ja)（JSが上書き表示）
29	tamura-shigeru	田村 茂	Tamura Shigeru	B	両者に同定一致する項目が1件もない＝作品名そのものが別	現代日本の百人、アラブの真実、北ベトナムの証言	人物肖像 / 戦後社会の記録	配列(ja)（JSが上書き表示）
30	kageyama-koyo	影山 光洋	Kageyama Kōyō	C	フラット空・配列のみ値あり		パンとペン / 芋っ子の記録 / 家族の記録	配列(ja)（JSが上書き表示）
31	nakamura-masaya	中村 正也	Nakamura Masaya	B	両者に同定一致する項目が1件もない＝作品名そのものが別	グラマーフォト、若い裸	野分け / 城 / アトリエ	配列(ja)（JSが上書き表示）
32	fukushima-hideko	福島 秀子	Fukushima Hideko	B	両者に同定一致する項目が1件もない＝作品名そのものが別	宇宙線シャワー、凝視、未知のものへ、ビンの中	抽象絵画	配列(ja)（JSが上書き表示）
33	okamoto-shinjiro	岡本 信治郎	Okamoto Shinjirō	B	両者に同定一致する項目が1件もない＝作品名そのものが別	ころがるさくら・東京大空襲	戦争を主題にした連作 / 丸の絵画	配列(ja)（JSが上書き表示）
34	ida-shoichi	井田 照一	Ida Shōichi	B	一部一致・一部不一致の混在＝一致1件／フラット側のみ1件（Surface is the Between）／配列側のみ1件（表面は間にある）	Surface is the Between、版画作品	表面は間にある / 版画作品	配列(ja)（JSが上書き表示）
35	watanabe-sao	渡辺 沙鴎	Watanabe Saō	C	フラット空・配列のみ値あり		楷書 詩小雅天保	配列(ja)（JSが上書き表示）
36	fukayama-ryudo	深山 龍洞	Miyama Ryūdō	C	配列(masterworks)自体が無い・フラットのみ値あり	紫式部集抄（東京国立博物館蔵）		フラット(masterworks_text)＝配列が無くフォールバック
37	ochi-hiroshi	大智 浩	Ōchi Hiroshi	B	両者に同定一致する項目が1件もない＝作品名そのものが別	出光興産のロゴマーク、公明党のトレードマーク	色彩・デザインの著作	配列(ja)（JSが上書き表示）
38	ito-mohei	伊東 茂平	Itō Mohei	B	両者に同定一致する項目が1件もない＝作品名そのものが別	日本航空（JAL）客室乗務員制服（2代目・3代目）デザイン	婦人服・洋装	配列(ja)（JSが上書き表示）
39	koike-iwataro	小池 岩太郎	Koike Iwatarō	B	一部一致・一部不一致の混在＝一致2件／フラット側のみ0件（）／配列側のみ1件（工業製品のデザイン）	大関ボトル、レコードプレーヤー	ヤマハのレコードプレーヤー / 大関のボトル / 工業製品のデザイン	配列(ja)（JSが上書き表示）
40	ito-chuta	伊東 忠太	Itō Chūta	A	全項目が同定一致（表記ゆれ・括弧半角全角差のみ）	築地本願寺本堂、東京都慰霊堂、湯島聖堂(再建)	築地本願寺本堂 / 東京都慰霊堂 / 湯島聖堂（再建）	配列(ja)（JSが上書き表示）
41	tange-kenzo	丹下 健三	Tange Kenzō	C	配列(masterworks)自体が無い・フラットのみ値あり	広島平和記念資料館本館（広島県広島市・1955年竣工・現存・重要文化財2006年指定）、香川県庁舎東館（香川県高松市・1958年竣工・現存・重要文化財2022年指定）、国立代々木競技場（東京都渋谷区・1964年竣工・現存・重要文化財2021年指定）		フラット(masterworks_text)＝配列が無くフォールバック
42	seike-kiyoshi	清家 清	Seike Kiyoshi	C	配列(masterworks)自体が無い・フラットのみ値あり	私の家（東京都大田区・1954年竣工・現存・登録有形文化財2017年登録）、九州工業大学記念講堂（福岡県北九州市・1960年竣工・現存）		フラット(masterworks_text)＝配列が無くフォールバック
43	isozaki-arata	磯崎 新	Isozaki Arata	C	配列(masterworks)自体が無い・フラットのみ値あり	旧大分県立大分図書館（現アートプラザ）（大分県大分市・1966年竣工・現存・登録有形文化財2022年登録）、つくばセンタービル（茨城県つくば市・1983年竣工・現存）、水戸芸術館（茨城県水戸市・1990年竣工・現存）		フラット(masterworks_text)＝配列が無くフォールバック
44	maki-fumihiko	槇 文彦	Maki Fumihiko	C	配列(masterworks)自体が無い・フラットのみ値あり	ヒルサイドテラス（東京都渋谷区・1969-1992年にかけて段階的に竣工・現存）、スパイラル（東京都港区・1985年竣工・現存）、幕張メッセ（千葉県千葉市・1989年竣工・現存）		フラット(masterworks_text)＝配列が無くフォールバック
45	uchida-yoshikazu	内田 祥三	Uchida Yoshikazu	C	配列(masterworks)自体が無い・フラットのみ値あり	安田講堂（東京都文京区・1925年竣工・現存・登録有形文化財、岸田日出刀と共作）、東京大学法学部3号館（東京都文京区・1927年竣工・現存・登録有形文化財1998年登録）、旧制第一高等学校本館（現・東京大学教養学部1号館〔時計台〕）（東京都目黒区・1933年竣工・現存・登録有形文化財2000年登録）		フラット(masterworks_text)＝配列が無くフォールバック
46	murano-togo	村野 藤吾	Murano Tōgo	C	配列(masterworks)自体が無い・フラットのみ値あり	世界平和記念聖堂（広島県広島市・1954年竣工・現存・重要文化財2006年指定）、宇部市渡辺翁記念会館（山口県宇部市・1937年竣工・現存・重要文化財2005年指定）、日本橋高島屋（東京都中央区・1933年竣工〔村野は1952年以降の増築部分を担当〕・現存・重要文化財2009年指定）		フラット(masterworks_text)＝配列が無くフォールバック
47	maekawa-kunio	前川 國男	Maekawa Kunio	C	配列(masterworks)自体が無い・フラットのみ値あり	木村産業研究所（青森県弘前市・1932年竣工・現存・国指定重要文化財2021年指定）、神奈川県立図書館・音楽堂（神奈川県横浜市・1954年竣工・改修工事のため休館中・神奈川県指定重要文化財2021年指定）、国際文化会館本館（東京都港区・1955年竣工・坂倉準三・吉村順三と共同設計・現存・国登録有形文化財2006年登録）		フラット(masterworks_text)＝配列が無くフォールバック
48	yoshida-isoya	吉田 五十八	Yoshida Isoya	C	配列(masterworks)自体が無い・フラットのみ値あり	五島美術館本館（東京都世田谷区・1960年竣工・現存・国登録有形文化財2017年登録）、諏訪市文化センター〔旧北澤会館〕（長野県諏訪市・1962年竣工・大規模改修工事のため休館中〔2027年度供用再開予定〕・国登録有形文化財2014年登録）、鎌倉市吉屋信子記念館主屋（神奈川県鎌倉市・1962年竣工・現存〔春・秋に一般公開、通常は予約制学習施設〕・国登録有形文化財2017年登録）		フラット(masterworks_text)＝配列が無くフォールバック
49	taniguchi-yoshiro	谷口 吉郎	Taniguchi Yoshirō	C	配列(masterworks)自体が無い・フラットのみ値あり	小諸市立藤村記念館（長野県小諸市・1957年竣工〔1958年開館〕・現存・国登録有形文化財2025年登録）、東京国立博物館東洋館（東京都台東区・1968年竣工・現存）、東京国立近代美術館本館（東京都千代田区・1969年竣工・現存）		フラット(masterworks_text)＝配列が無くフォールバック
50	sano-toshikata	佐野 利器	Sano Toshikata	C	配列(masterworks)自体が無い・フラットのみ値あり	学士会館（東京都千代田区・1928年竣工〔高橋貞太郎が意匠、佐野利器が構造設計を担当〕・再開発のため2024年末より休館中〔旧館部分は曳家保存、1937年増築部〔藤村朗設計〕は解体予定〕・登録有形文化財2003年登録）		フラット(masterworks_text)＝配列が無くフォールバック
51	kikutake-kiyonori	菊竹清訓	Kikutake Kiyonori	C	配列(masterworks)自体が無い・フラットのみ値あり	スカイハウス〔旧菊竹清訓自邸〕（東京都文京区・1958年竣工・現存・重要文化財2025年8月27日指定）、出雲大社庁の舎（島根県出雲市・1963年竣工・2016年からの改築事業に伴い解体・現存せず）、島根県立図書館（島根県松江市・1968年竣工・現存・国登録有形文化財2021年6月24日登録）		フラット(masterworks_text)＝配列が無くフォールバック
52	ashihara-yoshinobu	芦原義信	Ashihara Yoshinobu	C	配列(masterworks)自体が無い・フラットのみ値あり	駒沢オリンピック公園総合運動場体育館（東京都世田谷区・1964年竣工・現存）、ソニービル（東京都中央区・1966年竣工・2017年解体・現存せず）、国立歴史民俗博物館（千葉県佐倉市・1980年竣工・現存）		フラット(masterworks_text)＝配列が無くフォールバック
53	otaka-masato	大高正人	Ōtaka Masato	C	配列(masterworks)自体が無い・フラットのみ値あり	坂出人工土地（香川県坂出市・第1期1968年完成、全体1986年完成・現存）、千葉県文化会館（千葉県千葉市中央区・1967年竣工・現存）、広島市営基町高層アパート（広島県広島市中区・高層棟1969年着工、1978年全体完成・現存）		フラット(masterworks_text)＝配列が無くフォールバック
54	sakakura-junzo	坂倉準三	Sakakura Junzo	C	配列(masterworks)自体が無い・フラットのみ値あり	旧神奈川県立近代美術館〔現・鎌倉文華館鶴岡ミュージアム〕（神奈川県鎌倉市・1951年竣工・現存・重要文化財2020年指定）、旧上野市庁舎（三重県伊賀市・1964年竣工・現存〔2025年「旧上野市庁舎 SAKAKURA BASE」としてプレオープン〕・伊賀市指定有形文化財2019年3月26日指定〔附・建築関係図面は2020年3月24日追加指定〕）		フラット(masterworks_text)＝配列が無くフォールバック
55	yoshizaka-takamasa	吉阪隆正	Yoshizaka Takamasa	C	配列(masterworks)自体が無い・フラットのみ値あり	大学セミナー・ハウス本館（東京都八王子市・1965年竣工・現存・東京都選定歴史的建造物〔2016年度選定〕）、アテネ・フランセ校舎（東京都千代田区・1962年竣工、のち増築・現存）、旧江津市役所本庁舎（島根県江津市・1962年竣工・現存・2021年閉庁、民間譲渡による保存活用を模索中）		フラット(masterworks_text)＝配列が無くフォールバック
56	imai-kenji	今井兼次	Imai Kenji	C	配列(masterworks)自体が無い・フラットのみ値あり	早稲田大学2号館〔現・會津八一記念博物館〕（東京都新宿区・1925年竣工・桐山均一・内藤多仲と共同設計・現存〔1998年に會津八一記念博物館として開館〕・東京都選定歴史的建造物〔1999年度選定〕）、大多喜町役場中庁舎（千葉県夷隅郡大多喜町・1959年竣工・現存〔2012年改修〕・国登録有形文化財2015年登録）、大隈重信記念館（佐賀県佐賀市・1966年竣工・現存・国登録有形文化財2017年登録）		フラット(masterworks_text)＝配列が無くフォールバック
57	kurokawa-kisho	黒川紀章	Kurokawa Kisho	C	配列(masterworks)自体が無い・フラットのみ値あり	寒河江市役所庁舎（山形県寒河江市・1967年竣工・現存・国登録有形文化財2017年登録）、中銀カプセルタワービル（東京都中央区・1972年竣工・2022年解体〔一部カプセルは保存〕）、国立民族学博物館（大阪府吹田市・1977年開館・現存）		フラット(masterworks_text)＝配列が無くフォールバック
58	shinohara-kazuo	篠原一男	Shinohara Kazuo	C	配列(masterworks)自体が無い・フラットのみ値あり	白の家（東京都杉並区・1966年竣工・2008年移築）、上原通りの住宅（東京都・1976年竣工）、東京工業大学百年記念館（東京都目黒区・1987年竣工）		フラット(masterworks_text)＝配列が無くフォールバック
59	azuma-takamitsu	東孝光	Azuma Takamitsu	C	配列(masterworks)自体が無い・フラットのみ値あり	塔の家（東京都渋谷区・1966年竣工・文化財指定なし／東京都選定歴史的建造物〔2017年度選定〕）、阿佐ヶ谷の家（東京都杉並区・1993年竣工）		フラット(masterworks_text)＝配列が無くフォールバック
60	tsuchiura-kameki	土浦亀城	Tsuchiura Kameki	C	配列(masterworks)自体が無い・フラットのみ値あり	土浦亀城邸〔第2自邸・文化財名称は土浦家住宅・土浦亀城/土浦信子設計〕（旧所在地：東京都品川区上大崎／現所在地：東京都港区南青山・1935年竣工・2024年移築復原・東京都指定有形文化財〔1995年3月27日指定〕）		フラット(masterworks_text)＝配列が無くフォールバック
61	kishida-hideto	岸田日出刀	Kishida Hidetō	C	配列(masterworks)自体が無い・フラットのみ値あり	東京大学大講堂〔安田講堂〕（東京都文京区本郷7-3-1・1925年竣工・現存・東京大学の大学史資料によれば内田祥三が基本設計を行い岸田日出刀の実施案を採用〔国登録有形文化財データベースの設計者欄は内田祥三のみ記載〕・国登録有形文化財1996年12月20日登録）、高知県庁舎（高知県高知市丸ノ内・1962年10月完成・現存）		フラット(masterworks_text)＝配列が無くフォールバック
62	shirai-seiichi	白井晟一	Shirai Seiichi	C	配列(masterworks)自体が無い・フラットのみ値あり	旧親和銀行本店本館（長崎県佐世保市・1967年竣工、1969年増築・建物現存・国登録有形文化財〔2025年度中に文化審議会答申・登録〕）、旧親和銀行本店懐霄館（長崎県佐世保市・1975年竣工・建物現存・国登録有形文化財〔2025年度中に文化審議会答申・登録〕）、渋谷区立松濤美術館（東京都渋谷区・1980年5月8日竣工、1981年10月1日開館・設計は白井晟一研究所・建物現存）		フラット(masterworks_text)＝配列が無くフォールバック
63	yamaguchi-bunzo	山口文象	Yamaguchi Bunzo	C	配列(masterworks)自体が無い・フラットのみ値あり	清洲橋（東京都中央区日本橋中洲・江東区清澄・1928年3月竣工・現存・重要文化財2007年6月18日指定〔永代橋・勝鬨橋と同時指定〕・意匠に関与したとする記録がある。ただし文化庁国指定文化財等データベースは「内務省復興局土木部長太田圓三らの設計」と記載し、山口文象〔当時・岡村蚊象〕の名は明記していない）、黒部川第二発電所〔黒部川第二号発電所およびダム〕（富山県黒部市宇奈月町・1936年10月竣工・現存・DOCOMOMO Japan 2003年度選定）		フラット(masterworks_text)＝配列が無くフォールバック
64	ikebe-kiyoshi	池辺陽	Ikebe Kiyoshi	C	配列(masterworks)自体が無い・フラットのみ値あり	住宅No.32〔立体最小限住宅No.32〕（大阪府大阪市東住吉区・1955年竣工・設計：池辺陽・担当：西澤文隆・現存・DOCOMOMO Japan選定〔2024年度選定、2025年発表〕）、東京大学鹿児島宇宙空間観測所〔現・内之浦宇宙空間観測所〕（鹿児島県肝属郡肝付町・1962年開設〔施設建設は複数年にわたる〕・設計：池辺陽＋東京大学生産技術研究所・施設群の一部が現存・DOCOMOMO Japan選定2008年）		フラット(masterworks_text)＝配列が無くフォールバック
65	nishizawa-fumitaka	西澤文隆	Nishizawa Fumitaka	C	配列(masterworks)自体が無い・フラットのみ値あり	前橋市庁舎（群馬県前橋市・1981年竣工・現存し市役所本庁舎として使用）		フラット(masterworks_text)＝配列が無くフォールバック
