作家,列,台帳A(Vault)の値,台帳B(デスク)の値,由来の判定
"龍村平蔵","名前(ローマ字)","Tatsumura Heizō","Tatsumura Heizo","第39便A案266名：一覧の from/to と完全一致"
"高野松山","名前(ローマ字)","Takano Shōzan","Takano Shozan","第39便A案266名：一覧の from/to と完全一致"
"音丸耕堂","名前(ローマ字)","Otomaru Kōdō","Otomaru Kodo","第39便A案266名：一覧の from/to と完全一致"
"赤地友哉","名前(ローマ字)","Akaji Yūsai","Akaji Yusai","第39便A案266名：一覧の from/to と完全一致"
"大場松魚","名前(ローマ字)","Ōba Shōgyo","Oba Shogyo","第39便A案266名：一覧の from/to と完全一致"
"塩多慶四郎","名前(ローマ字)","Shiota Keishirō","Shioda Keishiro","復帰便5名：一覧の from/to と完全一致"
"氷見晃堂","名前(ローマ字)","Himi Kōdō","Himi Kodo","第39便A案266名：一覧の from/to と完全一致"
"佐々木象堂","名前(ローマ字)","Sasaki Shōdō","Sasaki Shodo","第39便A案266名：一覧の from/to と完全一致"
"内藤四郎","名前(ローマ字)","Naitō Shirō","Naito Shiro","第39便A案266名：一覧の from/to と完全一致"
"関谷四郎","名前(ローマ字)","Sekiya Shirō","Sekiya Shiro","第39便A案266名：一覧の from/to と完全一致"
"蓮田修吾郎","名前(ローマ字)","Hasuda Shūgorō","Hasuda Shugoro","第39便A案266名：一覧の from/to と完全一致"
"帖佐美行","名前(ローマ字)","Chōsa Yoshiyuki","Chosa Yoshiyuki","第39便A案266名：一覧の from/to と完全一致"
"生野祥雲斎","名前(ローマ字)","Shōno Shōunsai","Shono Shounsai","第39便A案266名：一覧の from/to と完全一致"
"飯塚琅玕斎","名前(ローマ字)","Iizuka Rōkansai","Iizuka Rokansai","第39便A案266名：一覧の from/to と完全一致"
"平田郷陽","名前(ローマ字)","Hirata Gōyō","Hirata Goyo","第39便A案266名：一覧の from/to と完全一致"
"堀柳女","名前(ローマ字)","Hori Ryūjo","Hori Ryujo","第39便A案266名：一覧の from/to と完全一致"
"鹿児島寿蔵","名前(ローマ字)","Kagoshima Juzō","Kagoshima Juzo","第39便A案266名：一覧の from/to と完全一致"
"各務鑛三","名前(ローマ字)","Kagami Kōzō","Kagami Kozo","第39便A案266名：一覧の from/to と完全一致"
"岩田藤七","名前(ローマ字)","Iwata Tōshichi","Iwata Toshichi","第39便A案266名：一覧の from/to と完全一致"
"藤田喬平","名前(ローマ字)","Fujita Kyōhei","Fujita Kyohei","第39便A案266名：一覧の from/to と完全一致"
"濤川惣助","名前(ローマ字)","Namikawa Sōsuke","Namikawa Sosuke","第39便A案266名：一覧の from/to と完全一致"
"下岡蓮杖","名前(ローマ字)","Shimooka Renjō","Shimooka Renjo","第39便A案266名：一覧の from/to と完全一致"
"田本研造","名前(ローマ字)","Tamoto Kenzō","Tamoto Kenzo","第39便A案266名：一覧の from/to と完全一致"
"福原信三","名前(ローマ字)","Fukuhara Shinzō","Fukuhara Shinzo","第39便A案266名：一覧の from/to と完全一致"
"野島康三","名前(ローマ字)","Nojima Yasuzō","Nojima Yasuzo","第39便A案266名：一覧の from/to と完全一致"
"名取洋之助","名前(ローマ字)","Natori Yōnosuke","Natori Yonosuke","第39便A案266名：一覧の from/to と完全一致"
"植田正治","名前(ローマ字)","Ueda Shōji","Ueda Shoji","第39便A案266名：一覧の from/to と完全一致"
"大辻清司","名前(ローマ字)","Ōtsuji Kiyoji","Otsuji Kiyoji","第39便A案266名：一覧の from/to と完全一致"
"東松照明","名前(ローマ字)","Tōmatsu Shōmei","Tomatsu Shomei","第39便A案266名：一覧の from/to と完全一致"
"奈良原一高","名前(ローマ字)","Narahara Ikkō","Narahara Ikko","第39便A案266名：一覧の from/to と完全一致"
"前田真三","名前(ローマ字)","Maeda Shinzō","Maeda Shinzo","第39便A案266名：一覧の from/to と完全一致"
"秋山庄太郎","名前(ローマ字)","Akiyama Shōtarō","Akiyama Shotaro","第39便A案266名：一覧の from/to と完全一致"
"山端庸介","名前(ローマ字)","Yamahata Yōsuke","Yamahata Yosuke","第39便A案266名：一覧の from/to と完全一致"
"沢田教一","名前(ローマ字)","Sawada Kyōichi","Sawada Kyoichi","第39便A案266名：一覧の from/to と完全一致"
"牛腸茂雄","名前(ローマ字)","Gochō Shigeo","Gocho Shigeo","第39便A案266名：一覧の from/to と完全一致"
"大竹省二","名前(ローマ字)","Ōtake Shōji","Otake Shoji","第39便A案266名：一覧の from/to と完全一致"
"一ノ瀬泰造","名前(ローマ字)","Ichinose Taizō","Ichinose Taizo","第39便A案266名：一覧の from/to と完全一致"
"淵上白陽","名前(ローマ字)","Fuchikami Hakuyō","Fuchikami Hakuyo","第39便A案266名：一覧の from/to と完全一致"
"日高長太郎","名前(ローマ字)","Hidaka Chōtarō","Hidaka Chotaro","第39便A案266名：一覧の from/to と完全一致"
"河野鷹思","名前(ローマ字)","Kōno Takashi","Kono Takashi","第39便A案266名：一覧の from/to と完全一致"
"亀倉雄策","名前(ローマ字)","Kamekura Yūsaku","Kamekura Yusaku","第39便A案266名：一覧の from/to と完全一致"
"田中一光","名前(ローマ字)","Tanaka Ikkō","Tanaka Ikko","第39便A案266名：一覧の from/to と完全一致"
"山城隆一","名前(ローマ字)","Yamashiro Ryūichi","Yamashiro Ryuichi","第39便A案266名：一覧の from/to と完全一致"
"仲條正義","名前(ローマ字)","Nakajō Masayoshi","Nakajo Masayoshi","第39便A案266名：一覧の from/to と完全一致"
"今竹七郎","名前(ローマ字)","Imatake Shichirō","Imatake Shichiro","第39便A案266名：一覧の from/to と完全一致"
"大橋正","名前(ローマ字)","Ōhashi Tadashi","Ohashi Tadashi","第39便A案266名：一覧の from/to と完全一致"
"柳宗理","名前(ローマ字)","Yanagi Sōri","Yanagi Sori","第39便A案266名：一覧の from/to と完全一致"
"倉俣史朗","名前(ローマ字)","Kuramata Shirō","Kuramata Shiro","第39便A案266名：一覧の from/to と完全一致"
"長大作","名前(ローマ字)","Chō Daisaku","Cho Daisaku","第39便A案266名：一覧の from/to と完全一致"
"高田賢三","名前(ローマ字)","Takada Kenzō","Takada Kenzo","第39便A案266名：一覧の from/to と完全一致"
"柚木沙弥郎","名前(ローマ字)","Yunoki Samirō","Yunoki Samiro","第39便A案266名：一覧の from/to と完全一致"
"桑沢洋子","名前(ローマ字)","Kuwasawa Yōko","Kuwasawa Yoko","第39便A案266名：一覧の from/to と完全一致"
"岡本太郎","名前(ローマ字)","Okamoto Tarō","Okamoto Taro","第39便A案266名：一覧の from/to と完全一致"
"吉原治良","名前(ローマ字)","Yoshihara Jirō","Yoshihara Jiro","第39便A案266名：一覧の from/to と完全一致"
"嶋本昭三","名前(ローマ字)","Shimamoto Shōzō","Shimamoto Shozo","第39便A案266名：一覧の from/to と完全一致"
"村上三郎","名前(ローマ字)","Murakami Saburō","Murakami Saburo","第39便A案266名：一覧の from/to と完全一致"
"浮田要三","名前(ローマ字)","Ukita Yōzō","Ukita Yozo","第39便A案266名：一覧の from/to と完全一致"
"上前智祐","名前(ローマ字)","Uemae Chiyū","Uemae Chiyu","第39便A案266名：一覧の from/to と完全一致"
"高松次郎","名前(ローマ字)","Takamatsu Jirō","Takamatsu Jiro","第39便A案266名：一覧の from/to と完全一致"
"工藤哲巳","名前(ローマ字)","Kudō Tetsumi","Kudo Tetsumi","第39便A案266名：一覧の from/to と完全一致"
"斎藤義重","名前(ローマ字)","Saitō Yoshishige","Saito Yoshishige","第39便A案266名：一覧の from/to と完全一致"
"吉田克朗","名前(ローマ字)","Yoshida Katsurō","Yoshida Katsuro","第39便A案266名：一覧の from/to と完全一致"
"榎倉康二","名前(ローマ字)","Enokura Kōji","Enokura Koji","第39便A案266名：一覧の from/to と完全一致"
"堂本尚郎","名前(ローマ字)","Dōmoto Hisao","Domoto Hisao","第39便A案266名：一覧の from/to と完全一致"
"荒川修作","名前(ローマ字)","Arakawa Shūsaku","Arakawa Shusaku","第39便A案266名：一覧の from/to と完全一致"
"川端玉章","名前(ローマ字)","Kawabata Gyokushō","Kawabata Gyokusho","第39便A案266名：一覧の from/to と完全一致"
"寺崎広業","名前(ローマ字)","Terazaki Kōgyō","Terazaki Kogyo","第39便A案266名：一覧の from/to と完全一致"
"結城素明","名前(ローマ字)","Yūki Somei","Yuki Somei","第39便A案266名：一覧の from/to と完全一致"
"松岡映丘","名前(ローマ字)","Matsuoka Eikyū","Matsuoka Eikyu","第39便A案266名：一覧の from/to と完全一致"
"池上秀畝","名前(ローマ字)","Ikegami Shūho","Ikegami Shuho","第39便A案266名：一覧の from/to と完全一致"
"菊池芳文","名前(ローマ字)","Kikuchi Hōbun","Kikuchi Hobun","第39便A案266名：一覧の from/to と完全一致"
"木島桜谷","名前(ローマ字)","Konoshima Ōkoku","Konoshima Okoku","第39便A案266名：一覧の from/to と完全一致"
"都路華香","名前(ローマ字)","Tsuji Kakō","Tsuji Kako","第39便A案266名：一覧の from/to と完全一致"
"湯浅一郎","名前(ローマ字)","Yuasa Ichirō","Yuasa Ichiro","第39便A案266名：一覧の from/to と完全一致"
"満谷国四郎","名前(ローマ字)","Mitsutani Kunishirō","Mitsutani Kunishiro","第39便A案266名：一覧の from/to と完全一致"
"鹿子木孟郎","名前(ローマ字)","Kanokogi Takeshirō","Kanokogi Takeshiro","第39便A案266名：一覧の from/to と完全一致"
"南薫造","名前(ローマ字)","Minami Kunzō","Minami Kunzo","第39便A案266名：一覧の from/to と完全一致"
"太田喜二郎","名前(ローマ字)","Ōta Kijirō","Ota Kijiro","第39便A案266名：一覧の from/to と完全一致"
"倉田白羊","名前(ローマ字)","Kurata Hakuyō","Kurata Hakuyo","第39便A案266名：一覧の from/to と完全一致"
"小杉放菴","名前(ローマ字)","Kosugi Hōan","Kosugi Hoan","第39便A案266名：一覧の from/to と完全一致"
"川島理一郎","名前(ローマ字)","Kawashima Riichirō","Kawashima Riichiro","第39便A案266名：一覧の from/to と完全一致"
"津田青楓","名前(ローマ字)","Tsuda Seifū","Tsuda Seifu","第39便A案266名：一覧の from/to と完全一致"
"正宗得三郎","名前(ローマ字)","Masamune Tokusaburō","Masamune Tokusaburo","第39便A案266名：一覧の from/to と完全一致"
"黒田重太郎","名前(ローマ字)","Kuroda Jūtarō","Kuroda Jutaro","第39便A案266名：一覧の from/to と完全一致"
"鬼頭鍋三郎","名前(ローマ字)","Kitō Nabesaburō","Kito Nabesaburo","第39便A案266名：一覧の from/to と完全一致"
"伊原宇三郎","名前(ローマ字)","Ihara Usaburō","Ihara Usaburo","第39便A案266名：一覧の from/to と完全一致"
"大沢昌助","名前(ローマ字)","Ōsawa Shōsuke","Osawa Shosuke","第39便A案266名：一覧の from/to と完全一致"
"奥田元宋","名前(ローマ字)","Okuda Gensō","Okuda Genso","第39便A案266名：一覧の from/to と完全一致"
"佐藤太清","名前(ローマ字)","Satō Taisei","Sato Taisei","第39便A案266名：一覧の from/to と完全一致"
"加藤栄三","名前(ローマ字)","Katō Eizō","Kato Eizo","第39便A案266名：一覧の from/to と完全一致"
"加藤東一","名前(ローマ字)","Katō Tōichi","Kato Toichi","第39便A案266名：一覧の from/to と完全一致"
"福王寺法林","名前(ローマ字)","Fukuōji Hōrin","Fukuoji Horin","第39便A案266名：一覧の from/to と完全一致"
"新海竹蔵","名前(ローマ字)","Shinkai Takezō","Shinkai Takezo","第39便A案266名：一覧の from/to と完全一致"
"三木宗策","名前(ローマ字)","Miki Sōsaku","Miki Sosaku","第39便A案266名：一覧の from/to と完全一致"
"雨田光平","名前(ローマ字)","Amada Kōhei","Amada Kohei","第39便A案266名：一覧の from/to と完全一致"
"日名子実三","名前(ローマ字)","Hinago Jitsuzō","Hinago Jitsuzo","第39便A案266名：一覧の from/to と完全一致"
"武石弘三郎","名前(ローマ字)","Takeishi Kōzaburō","Takeishi Kozaburo","第39便A案266名：一覧の from/to と完全一致"
"藤川勇造","名前(ローマ字)","Fujikawa Yūzō","Fujikawa Yuzo","第39便A案266名：一覧の from/to と完全一致"
"笹村草家人","名前(ローマ字)","Sasamura Sōkajin","Sasamura Sokajin","第39便A案266名：一覧の from/to と完全一致"
"吾妻兼治郎","名前(ローマ字)","Azuma Kenjirō","Azuma Kenjiro","第39便A案266名：一覧の from/to と完全一致"
"江口週","名前(ローマ字)","Eguchi Shū","Eguchi Shu","第39便A案266名：一覧の from/to と完全一致"
"伊東陶山","名前(ローマ字)","Itō Tōzan","Ito Tozan","第39便A案266名：一覧の from/to と完全一致"
"宇野宗甕","名前(ローマ字)","Uno Sōyō","Uno Soyo","第39便A案266名：一覧の from/to と完全一致"
"加藤唐九郎","名前(ローマ字)","Katō Tōkurō","Kato Tokuro","第39便A案266名：一覧の from/to と完全一致"
"河本五郎","名前(ローマ字)","Kawamoto Gorō","Kawamoto Goro","第39便A案266名：一覧の from/to と完全一致"
"北出塔次郎","名前(ローマ字)","Kitade Tōjirō","Kitade Tojiro","第39便A案266名：一覧の from/to と完全一致"
