key,fires,branded,observation,words
order_payment_receipt,高,無,検出なし,
payment_reminder,高,無,検出なし,
pending_payment_failure,中,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
pending_payment_failure,中,無,ギフトカード等：この事業で提供していない機能への言及,ギフトカード
pending_payment_success,中,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
pending_payment_success,中,無,ギフトカード等：この事業で提供していない機能への言及,ギフトカード
pickup_receipt,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
pickup_receipt,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,ギフトカード
pos_exchange_v2_receipt,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,交換・返品
pos_send_cart,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
ready_for_pickup,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
ready_for_pickup,低（この事業では発生しない見込み）,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
ready_for_pickup,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,ギフトカード
refund_notification,中,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,送料
refund_notification,中,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
requested_edit_declined,低（この事業では発生しない見込み）,無,検出なし,
return_approved,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送・追跡番号
return_approved,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,返品
return_created,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送・追跡番号
return_created,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,返品
return_declined,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,返品
return_label_notification,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
return_label_notification,低（この事業では発生しない見込み）,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,注文番号
return_label_notification,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,返品
return_receipt,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,交換・返品
return_requested,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,返品
shipment_delivered,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配達・配送・追跡番号・発送
shipment_delivered,低（この事業では発生しない見込み）,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
shipment_out_for_delivery,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配達・配送・発送・追跡番号
shipping_confirmation,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送・追跡番号・配達
shipping_confirmation,低（この事業では発生しない見込み）,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
shipping_update,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送・追跡番号
shipping_update,低（この事業では発生しない見込み）,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
store_credit_issued,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,ストアクレジット
store_receipt,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,送料・配送
store_receipt,低（この事業では発生しない見込み）,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
subscription_canceled,高,無,検出なし,
subscription_expired,中,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
subscription_new,高,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,発送・配送
subscription_new,高,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,購入していただき
subscription_paused,中,無,検出なし,
subscription_payment_failure,高,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
subscription_payment_failure_last_attempt,中,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
subscription_payment_failure_retrying,中,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
subscription_payment_reminder,高,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
subscription_payment_reminder,高,無,価格の下限・別体系：価格の下限・別体系の示唆がないか要判断,より
subscription_resumed,中,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,発送・配送
subscription_skipped,中,無,検出なし,
